,buy1,buy2,spoil_ratio,succes_ratio
124,7.0,8.0,0.7169719685452893,0.8569827785378918
126,8.0,9.0,0.7551964365695316,0.8960498944504314
146,6.0,6.0,0.6549545803431371,0.7786510663758994
164,8.0,8.0,0.737874780240542,0.8792224244468829
167,6.0,7.0,0.6753448290814394,0.8064054252468411
168,4.0,5.0,0.5867906687628357,0.6672584993853212
181,5.0,5.0,0.6091781304463822,0.7097541627533235
182,5.0,6.0,0.6307484062335276,0.743299338424656
187,4.0,4.0,0.5574344051320579,0.608110939996189
193,3.0,3.0,0.4937234729395774,0.4358484307901904
194,2.0,2.0,0.472076421576926,0.3445145073083574
197,3.0,4.0,0.5494707853376354,0.5334079789381858
