,buy1,buy2,spoil_ratio,succes_ratio
1,6.0,7.0,0.637911769526112,0.8707283952714249
3,3.0,3.0,0.4800610529324268,0.4515260827695081
4,7.0,9.0,0.6958922688722999,0.9420336596901544
7,2.0,2.0,0.4323909324875795,0.3089388253055886
9,1.0,1.0,0.3996334932294103,0.2198194881427029
