,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
0,5.0,19.0,1.0,0.0782568105879911,0.0123947262236424,0.0006937673075394,0.0295281427511328,0.2758611136043881,0.4392297745598979,0.2628569871793009,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,6.0,23.0,1.0,0.0768805799319651,0.0092063714147979,0.0005908358762337,0.028572752043332,0.272342284418871,0.4524822590596436,0.2548293308553994,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,22.0,88.0,4.0,0.0717706173750033,0.0008573056379097,0.0001363694237898,0.0083482802246903,0.1741502237859461,0.6551348939048094,0.1649639711003165,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,5.0,19.0,1.0,0.0746794602059677,0.0097886023655575,0.0007845341047627,0.0304593954019253,0.262374975182836,0.4631054155301845,0.2490080370434848,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,6.0,19.0,1.0,0.0739474537081423,0.009511844504723,0.0006741285742968,0.029621958498802,0.2714698732597876,0.4592563906966863,0.2449988246137416,0.0,0.0,0.0,0.0,0.0,1.0,1.0
