,Unnamed: 0,Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_fac,lost_ratio_sales_dis,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative,lost_ratio_sales_fac_real,lost_ratio_sales_dis_real,lost_ratio_sales_ret_real,stock_customer_MA_mean_relative_real,stock_distributor_MA_mean_relative_real,stock_retailer_MA_mean_relative_real,stock_factory_MA_mean_relative_real
1,1,2,10,40,0.0142485563954999,0.0904659641968247,1,0,0,0,1,0,0,0.0009012933681088,0.0148488292501427,0.1908689219120755,0.2706031803170983,0.5259161930147265,0.0007747582809166663,0.1200782306441458,0.0015233966831852182,0.027792384569904433,0.1624999553241282,0.20234349471779106,0.6073641653881763
2,2,2,10,40,0.0537120495056664,0.0970551003816967,0,1,0,0,1,0,0,0.0014610108047186,0.0334366272249129,0.2121779972351603,0.2979107997269168,0.4505626869674957,0.0011507311456873599,0.08653320280082565,0.001017198146747495,0.027165208192616766,0.19594553095019177,0.21059538834324706,0.5662938725139445
0,0,2,10,40,0.0537120495057043,0.0970551003817475,0,1,0,0,1,0,0,0.0014610108047206,0.0334366272249333,0.2121779972351835,0.2979107997269356,0.4505626869674068,9.159704316949155e-05,0.0785189804820318,0.0011170747869957494,0.02781371049406831,0.19381796326986309,0.2006765752238388,0.5776917510122297
