low_t1_loss_th,low_t1_loss_w,low_t2_loss_th,low_t2_loss_w,low_t3_loss_th,low_t3_loss_w,low_unsatisfied_th,low_unsatisfied_w,t1_change_a,t2_change_a,t1_loss,t2_loss,t3_loss,unsatisfied_rate
0.208079577549916, 4, 0.3993694706798426, 6, 0.3820972771226557, 6, 0.3392068673672838, 9, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.3574124986303083, 4, 0.06557066384765969, 4, 0.041933362629332, 9, 0.4054173997114604, 3, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.2654314774491697, 9, 0.3569529333151049, 3, 0.1969887324992124, 9, 0.09786973757341028, 7, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.2226010433192975, 5, 0.2857881755234335, 1, 0.0450785643643839, 8, 0.4782831130541817, 1, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.08688908550777003, 2, 0.011598560581216, 8, 0.2623584931341878, 10, 0.2685226021356762, 3, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.4319078060216969, 4, 0.005616651040628584, 5, 0.4446358565750603, 6, 0.3029632745884498, 8, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.3545585394794483, 3, 0.4079030627313929, 8, 0.3631086638755848, 6, 0.422044911833787, 2, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.1346981707944738, 7, 0.01876556459417694, 6, 0.3171633889259494, 10, 0.4765508400055667, 9, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.4460134974069131, 1, 0.1395872692464505, 7, 0.3261933143271626, 8, 0.06035779690994625, 10, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.2030936027711456, 9, 0.1011676207686474, 7, 0.1429454351511981, 8, 0.4086759859781778, 4, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.07852040687915668, 2, 0.4256896948241796, 4, 0.3519930932536986, 7, 0.2719786515413419, 4, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.134164044272203, 3, 0.2399438325254417, 5, 0.02593531496285595, 5, 0.1271978644742947, 8, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.03644809765722185, 2, 0.1222716899635773, 3, 0.4719873821273936, 2, 0.4062443297416474, 2, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.303562718741174, 3, 0.3357829890903614, 3, 0.2724371218090301, 3, 0.09738239943055349, 5, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.2289315471344908, 1, 0.03865622492092258, 8, 0.007622097953249141, 7, 0.160583745611462, 10, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.1173899898592137, 4, 0.160247128250533, 4, 0.2519847066449101, 4, 0.1717782108067087, 10, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
0.03163462918536608, 10, 0.1238632699603379, 2, 0.4411390541552827, 6, 0.01065472060561734, 6, -4, -3, 0.1890584174236088, 0.2454833540925083, 0.1889857833806492, 0.3310633855353288
