,buy1,buy2,spoil_ratio,succes_ratio
2,1.0,7.0,0.2816198722758663,0.9311768614875252
5,1.0,9.0,0.3442603126862889,0.9682168709919364
7,1.0,1.0,0.2198194881427029,0.3996334932294103
9,2.0,1.0,0.2249102555530154,0.4902287244395147
