,Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,1-DailyPurchase,2-PeriodicallyPurchase,3-Random,"1-(s,Q)","2-(s,S)","3-(R,S)",4-Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1629,3.0,6.0,17.0,698.0,14.0,0.0284751934456076,4.0,4.0,0.85,2.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0008449294107774,0.0715102969375013,0.011429966847525,0.0227103673138301,0.2092148756843209,0.1705246530044556,0.5975501039973934
1630,3.0,3.0,4.0,943.0,11.0,0.083859808830223,4.0,4.0,0.85,6.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0194671168027008,0.2818863443490231,0.0018719965943194,0.0312858152206689,0.0775648615666641,0.0647351891577252,0.8264141340549416
1631,2.0,5.0,26.0,515.0,8.0,0.0700136549840692,4.0,4.0,0.85,5.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0011362636518691,0.0763549213741974,0.0328322218142861,0.02333913371879,0.1981194417301455,0.2184351484242923,0.560106276126772
1632,3.0,5.0,36.0,331.0,2.0,0.0220846609012289,4.0,4.0,0.85,8.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0060083625626696,0.2547454961374794,0.6016341151960165,0.0725608398513608,0.2684066300404047,0.4171031175509265,0.2419294125573078
1633,2.0,1.0,32.0,1127.0,3.0,0.0423213472917615,4.0,4.0,0.85,3.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0038514505260231,0.1833444808956816,0.0222620298634809,0.0898965664340129,0.0846383835417379,0.4439801587056392,0.3814848913186098
1634,3.0,2.0,32.0,1310.0,9.0,0.0902503413746017,4.0,4.0,0.85,15.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0028331479800255,0.0459333085893227,0.0519665864399618,0.1278205381994886,0.1424689852745717,0.2514010744531951,0.4783094020727445
1635,3.0,7.0,11.0,87.0,5.0,0.0561675011379153,4.0,4.0,0.85,4.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0019362894295633,0.075432279689455,0.1859076346359218,0.0296899080406976,0.4718849572827029,0.3011120131786456,0.1973131214979537
1636,2.0,9.0,20.0,1371.0,13.0,0.0977059626763768,4.0,4.0,0.85,7.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0032350089558451,0.1019979535474146,0.0003254131489796,0.0295484749881308,0.1266120086374986,0.11919762200067,0.7246418943737004
1637,1.0,6.0,12.0,1157.0,12.0,0.0907828857532999,4.0,4.0,0.85,7.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0070049050727921,0.0708412431052087,0.0004057300021836,0.045741388523123,0.2051556878878175,0.1499597434583481,0.5991431801307113
1638,2.0,8.0,34.0,729.0,9.0,0.0769367319071461,4.0,4.0,0.85,6.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0013362166374747,0.1085586322800904,0.0004360143428836,0.0269157560965855,0.1469692958351361,0.2205431020628015,0.6055718460054769
1639,2.0,2.0,28.0,117.0,14.0,0.015161583978152,4.0,4.0,0.85,8.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0009106789000141,0.107559455923789,0.1999146504565383,0.0140410718638059,0.220590819313026,0.4868581965255316,0.2785099122976364
1640,1.0,8.0,6.0,545.0,3.0,0.0290077378243058,4.0,4.0,0.85,9.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0019421174692557,0.1338249866031108,0.1159900493352287,0.1257324259049337,0.3647369271637956,0.2116175702919657,0.297913076639305
1641,3.0,9.0,29.0,1188.0,7.0,0.0497769685935366,4.0,4.0,0.85,10.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.002412513738891,0.1076214830084215,0.0006508877977209,0.0401859941294956,0.1156822423870276,0.1473669882460432,0.6967647752374334
1642,2.0,7.0,7.0,148.0,9.0,0.0636231224396905,4.0,4.0,0.85,11.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0023396154980688,0.0733174347658528,0.0439198087984093,0.039659036480369,0.2258553618691392,0.183012102362337,0.5514734992881546
1643,2.0,3.0,14.0,760.0,4.0,0.0359308147473828,4.0,4.0,0.85,9.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0026759188663371,0.0965953995219462,0.0319901943925682,0.0867978006028692,0.1712950691180033,0.2314657223012637,0.5104414079778637
1644,2.0,10.0,15.0,362.0,11.0,0.0705461993627674,4.0,4.0,0.85,12.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0008548739853508,0.0976437863918997,0.0012106908976662,0.0121690359307476,0.1762357625332075,0.135485116772369,0.6761100847636757
1645,2.0,6.0,21.0,974.0,6.0,0.0428538916704597,4.0,4.0,0.85,10.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0022648368739448,0.1002024275330197,0.0013222011368143,0.0560836291910201,0.1621803220212531,0.1901041054905418,0.5916319432971848
