Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,9,25,373,14,0.09635411925352755,4,4,0.85,12,200,500,"1-DailyPurchase","4-Random",0.0010281482964284246,0.09311712564834441,0.001364825398476541,0.014409823001270958,0.25940711625293483,0.23673286722220538,0.48945019352358876
3,8,30,439,6,0.021265361857077836,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0010205537215480839,0.11556256212677503,0.04882307548239649,0.02252815471847513,0.2753166641316871,0.29076695502038113,0.4113882261294566
1,3,34,1439,14,0.06014110150204826,4,4,0.85,4,200,500,"1-DailyPurchase","4-Random",0.004002152410310054,0.20842615391714445,0.00011441654394314104,0.010970816469075587,0.1035067360695311,0.22928317215860883,0.6562392753027845
1,5,13,618,11,0.06227127901684116,4,4,0.85,1,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.00762080417033483,0.17694315590675752,0.00027712986968077464,0.05678776077494284,0.16349557193635209,0.21212775456779664,0.5675889127209085
2,3,28,1046,13,0.076117432862995,4,4,0.85,2,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.018831462670777167,0.31853817659241057,0.0,0.04561182913172338,0.03797580036863274,0.15123950340866604,0.7651728670909779
3,2,31,771,8,0.06173873463814293,4,4,0.85,9,200,500,"1-DailyPurchase","3-(R,S)",0.0007756091202842056,0.06643407914823381,0.027575004635638792,0.013983287551503496,0.1124256013419146,0.24219148473251131,0.6313996263740705
2,7,3,801,3,0.02073281747837961,4,4,0.85,13,200,500,"1-DailyPurchase","4-Random",0.002782889151959299,0.1149102067033884,0.12451211966408543,0.08943927615083207,0.27361094902003436,0.15022690731616528,0.48672286751296834
2,7,35,190,8,0.04842512517068731,4,4,0.85,15,200,500,"2-PeriodicallyPurchase","4-Random",0.006160203312059929,0.12756177400310387,0.2324814184968056,0.06394805735329352,0.24448497776227987,0.3450344252711285,0.3465325396132983
1,7,31,41,12,0.05588074647246246,4,4,0.85,7,200,500,"3-Random","2-(s,S)",0.0025136154168412233,0.12023465788567458,0.4427733621421406,0.013045278163634325,0.4648225647148561,0.3390756237953787,0.18305653332613103
2,1,36,312,10,0.0888984979517524,4,4,0.85,4,200,500,"3-Random","3-(R,S)",0.001172533474629251,0.08418526339289867,0.07086700581121289,0.02700835460581562,0.13906176524642339,0.39463136834712575,0.43929851180063534
3,10,11,1016,4,0.027655894401456535,4,4,0.85,13,200,500,"2-PeriodicallyPurchase","4-Random",0.0035523070554412104,0.09868826349798726,0.23639507402602455,0.14876099105798066,0.2508961322014699,0.16182347055101923,0.4385194061895301
2,6,8,867,8,0.035111515703231684,4,4,0.85,5,200,500,"3-Random","1-(s,Q)",0.0006433967915326406,0.044629337550239054,0.0028389301249967832,0.031180345378694848,0.18124459603779622,0.13421597338748262,0.6533590851960264
3,2,5,404,9,0.05534820209376423,4,4,0.85,0,200,500,"2-PeriodicallyPurchase","4-Random",0.0056958271545661625,0.17161582555677007,0.007847246317383212,0.05104271901787155,0.11660045853996051,0.24212433950627024,0.5902324829358977
2,3,10,1413,12,0.08250796540737369,4,4,0.85,11,200,500,"1-DailyPurchase","4-Random",0.00185631714063786,0.07837827279533209,0.000604042022098831,0.020845947443685908,0.17052963946840527,0.13998039304157842,0.6686440200463303
2,4,33,587,2,0.013809740555302687,4,4,0.85,12,200,500,"1-DailyPurchase","4-Random",0.00377385919831522,0.09666639274659654,0.4417306872094064,0.07814726442516251,0.30199485700235873,0.4583794916824467,0.1614783868900321
1,4,11,286,8,0.021797906235776057,4,4,0.85,11,200,500,"3-Random","2-(s,S)",0.001330699925551861,0.10877179822126323,0.19866350736135885,0.04158133419092677,0.32132113369976734,0.3140252864003188,0.32307224570898707
2,2,22,954,14,0.020200273099681386,4,4,0.85,6,200,500,"1-DailyPurchase","3-(R,S)",0.0007818673873221444,0.08983675488065826,0.021592115410554454,0.0092739188233817,0.15494552378811086,0.2951575007351479,0.5406230566533596
2,5,22,225,4,0.014342284934000912,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0013708919997937597,0.12060251086911948,0.3837217469651905,0.024473239109848346,0.3475500456000007,0.377563779521592,0.25041293576855894
2,10,39,255,13,0.06280382339553939,4,4,0.85,8,200,500,"3-Random","2-(s,S)",0.0012260181432155954,0.08451968805377663,0.0208744765274019,0.01822563191150749,0.2567140808728942,0.26400809328685115,0.4610521939287471
2,5,30,1168,2,0.027123350022758314,4,4,0.85,6,200,500,"1-DailyPurchase","3-(R,S)",0.0005997174752890499,0.07820077759889751,0.06536422736501565,0.03033597627863509,0.22067221842172396,0.29260482382780695,0.4563869814718341
2,9,16,1081,9,0.04203459262630861,4,4,0.85,6,200,500,"3-Random","2-(s,S)",0.00035823267411990003,0.06458718859621233,0.009948708540181813,0.02572656552959991,0.25519199806324455,0.17024862975526325,0.5488328066518923
1,5,39,985,9,0.06866181156121985,4,4,0.85,10,200,500,"1-DailyPurchase","3-(R,S)",0.0008799764286385722,0.07222823070753265,0.0009121826702605726,0.018338471416788116,0.18888792095358747,0.28425639088502225,0.5085172167446022
2,2,14,10,3,0.09688666363222577,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0062017426896958045,0.3152609603340292,0.7042884404707213,0.023898989385091163,0.26261633336846196,0.3290694420722512,0.38441523517419574
2,4,27,1444,7,0.04150204824761038,4,4,0.85,14,200,500,"2-PeriodicallyPurchase","4-Random",0.0040939569706692994,0.13581851038614343,0.0657051497431103,0.118889137666538,0.15029672381982503,0.23110231161681624,0.4997118268968207
1,4,5,1142,13,0.04949021392808376,4,4,0.85,13,200,500,"1-DailyPurchase","3-(R,S)",0.00012374176869597403,0.06193437689563946,0.002195162472419743,0.019874940234083722,0.25251781167787374,0.12258218448121419,0.6050250636068283
2,8,21,832,12,0.06919435593991807,4,4,0.85,1,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.002538525705256025,0.0876543152009415,0.0,0.06172786923942907,0.18977919243493718,0.21479435252040247,0.5336985858052313
