HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
0.01, 0, 0, 1, 0, 0, 0, 1, 2.140470481828752e-07, 0.0003858756317748958, 1.275989174073464e-11, 0.000766479358039018, 0.008846511089125306, 5.942894160106535e-05, 0.9993452330125651
