,Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,1-DailyPurchase,2-PeriodicallyPurchase,3-Random,"1-(s,Q)","2-(s,S)","3-(R,S)",4-Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
657,2.0,9.0,32.0,1461.0,4.0,0.0495311788802913,4.0,4.0,0.85,11.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0010453842754422,0.0889328272162943,0.0045862580400679,0.0350286599108961,0.2152103191872997,0.1925235873410256,0.5572374335607785
658,3.0,5.0,35.0,1365.0,13.0,0.0122530723714155,4.0,4.0,0.85,4.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.001283116326039,0.1112947314175475,0.0155604744239867,0.0219612544962876,0.1651776625228946,0.2471841289084931,0.5656769540723247
659,2.0,1.0,38.0,1308.0,2.0,0.0756258534365043,4.0,4.0,0.85,8.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0018651697961451,0.0817507085585357,0.0865714941937081,0.0895037569300061,0.1040869075830264,0.3444999845865358,0.4619093509004314
660,3.0,6.0,3.0,946.0,9.0,0.0505962676376877,4.0,4.0,0.85,9.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0001884208040291,1.5666300763017626e-05,0.0001725535573484,0.0334078242162051,0.0888789018019391,0.0446785159588064,0.8330347580230493
661,2.0,7.0,1.0,1343.0,3.0,0.0159808830223031,4.0,4.0,0.85,7.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000669194878105,0.0069876075576923,0.1336329650245077,0.1085340585153669,0.2349371184511371,0.1345778121852888,0.521951010848207
662,3.0,9.0,27.0,1068.0,3.0,0.0586253982703687,4.0,4.0,0.85,9.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0044928382358751,0.1142913466312315,0.1583577630362059,0.120819102876382,0.2286844085538956,0.1948945670271215,0.4556019215426006
663,2.0,1.0,18.0,1374.0,12.0,0.0644424214838416,4.0,4.0,0.85,10.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0321626113114597,0.4708340264286394,4.978199371018778e-05,0.0684831178150734,0.0188204363193435,0.1783959566731168,0.7343004891924663
664,2.0,6.0,19.0,854.0,2.0,0.0517023213472917,4.0,4.0,0.85,8.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0057653907955442,0.1247971245767335,0.3316192956641878,0.1850063423328987,0.2506907899722529,0.2290096964838539,0.3352931712109943
665,2.0,9.0,6.0,150.0,8.0,0.0303595812471552,4.0,4.0,0.85,14.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007553237671967,0.1303090547623351,0.0504441931541458,0.0135755117380673,0.3490401563447912,0.1721137696887663,0.4652705622283751
666,2.0,2.0,14.0,364.0,9.0,0.0372826581702321,4.0,4.0,0.85,15.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0009296135463685,0.07606745391496,0.0342754237200493,0.024455578252025,0.1967549087120345,0.2918320761223416,0.4869574369135989
667,1.0,8.0,3.0,426.0,13.0,0.0378561675011379,4.0,4.0,0.85,7.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0001539516766964,0.0628449571667029,0.0451647190982065,0.0462733239169036,0.3365155345264566,0.1656976418665653,0.4515134996900743
668,2.0,2.0,30.0,33.0,2.0,0.0383887118798361,4.0,4.0,0.85,14.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.028923972757049,0.2880463151900536,0.7868555714136527,0.0713432750552175,0.140402497567869,0.3446655479247184,0.4435886794521951
669,2.0,6.0,8.0,1221.0,14.0,0.0649749658625398,4.0,4.0,0.85,2.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.790932997676326e-05,0.0597203914142801,0.0005301280490312,0.0050949884501919,0.1588243676161717,0.0796839408989373,0.7563967030346989
670,3.0,5.0,22.0,578.0,11.0,0.044205735093309,4.0,4.0,0.85,0.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004380028340341,0.0795658727637727,0.0124839587438379,0.0045219272690761,0.163474800547947,0.1988654274845342,0.6331378446984426
671,2.0,8.0,13.0,2.0,7.0,0.0793946290395994,4.0,4.0,0.85,10.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
672,1.0,9.0,11.0,1160.0,10.0,0.0575193445607646,4.0,4.0,0.85,10.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.001294082029307,0.0348962284718592,0.0,0.063887131570815,0.2174736335276314,0.1441514659898945,0.5744877689116591
673,2.0,10.0,39.0,609.0,6.0,0.0926672735548475,4.0,4.0,0.85,4.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0003515659707151,0.0902292176003589,0.0060223176878981,0.006637733798616,0.2253773957452822,0.2097655050561631,0.5582193653999385
674,1.0,8.0,29.0,793.0,12.0,0.0511288120163859,4.0,4.0,0.85,1.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003736158045795,0.0787211011043636,0.0024916627711137,0.0068748647877874,0.2586452624718767,0.2573403270580924,0.4771395456822434
675,2.0,3.0,11.0,640.0,14.0,0.0447792444242148,4.0,4.0,0.85,8.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0014789704060883,0.0857212525830889,0.0186678626027662,0.0494049907833878,0.2529079821137681,0.2258559543277501,0.471831072775094
676,2.0,3.0,33.0,731.0,8.0,0.0436731907146108,4.0,4.0,0.85,9.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0021240178673283,0.1136360175480612,0.0032152719817614,0.0369819179048498,0.1026851679187896,0.2519616914548788,0.6083712227214816
677,3.0,3.0,20.0,216.0,8.0,0.0863177059626763,4.0,4.0,0.85,11.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0104977940732085,0.305692128803069,0.0636312164673736,0.0519936351364642,0.1264951283357985,0.2289955904905435,0.5925156460371935
678,3.0,3.0,28.0,1190.0,5.0,0.0165134274010013,4.0,4.0,0.85,13.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008228254276521,0.0814466373472629,0.0226788580903919,0.0271463474522717,0.1563627913099583,0.2680109070871489,0.548479954150621
679,2.0,5.0,38.0,247.0,3.0,0.045311788802913,4.0,4.0,0.85,14.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0094503330724472,0.1407338540859636,0.2636127678010585,0.0993429390696463,0.2125646587549831,0.3273267131123875,0.3607656890629829
680,2.0,3.0,37.0,1007.0,13.0,0.0580518889394629,4.0,4.0,0.85,1.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0006413756410848,0.0615924895525283,0.0016461070014944,0.0071416845907217,0.1566874554428419,0.2705358990670518,0.5656349608993844
681,1.0,4.0,9.0,1037.0,8.0,0.0101638598088302,4.0,4.0,0.85,5.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0004524319059031,0.0909941323289349,0.0311673831693695,0.0083618619836531,0.3142211989644012,0.267004095969779,0.4104128430821666
682,2.0,6.0,23.0,889.0,7.0,0.0660810195721438,4.0,4.0,0.85,1.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0014053035470559,0.1051723127400869,0.0006218021487872,0.0216420736096186,0.1514962325208994,0.174265157408719,0.6525965364607628
683,2.0,4.0,38.0,1129.0,2.0,0.098525261720528,4.0,4.0,0.85,6.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0041176074739263,0.1256181669330159,0.1058685228023193,0.1167138038176404,0.1303307843068435,0.2579561309225385,0.4949992809529774
684,2.0,7.0,17.0,1252.0,9.0,0.0170869367319071,4.0,4.0,0.85,6.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0007376905833161,0.0883009659552068,0.0202639602807204,0.0321902105358965,0.2888521762061929,0.2124546724430228,0.4665029408148874
685,1.0,7.0,33.0,920.0,2.0,0.0250751024123805,4.0,4.0,0.85,5.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0006229598697355,0.0736932993894025,0.288429244243963,0.0225758677843073,0.3683686313186052,0.3528561156524663,0.2561993852446209
686,2.0,2.0,4.0,1134.0,3.0,0.0319981793354574,4.0,4.0,0.85,5.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0009618260700143,0.1050605328519241,0.0583267699878279,0.0280256718714696,0.2118919143375325,0.2112422767603612,0.5488401370306365
687,3.0,1.0,2.0,823.0,7.0,0.0995903504779244,4.0,4.0,0.85,5.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.437466254982516e-05,0.0397102106033973,0.006124838537304,0.015605401161994,0.155023350768453,0.1138626935215035,0.7155085545480494
688,1.0,3.0,27.0,308.0,7.0,0.0527674101046882,4.0,4.0,0.85,7.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0006869179452174,0.0771423052836677,0.0221475733145849,0.0115724034310205,0.2408931580783479,0.3675470754739618,0.3799873630166697
689,3.0,6.0,7.0,339.0,2.0,0.0117614929449248,4.0,4.0,0.85,10.0,200.0,500.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004112980785627,0.1103236842026705,0.3899067035175268,0.0409279124184278,0.41593079219052,0.2111172327195508,0.3320240626715013
690,1.0,6.0,36.0,1404.0,7.0,0.0234365043240782,4.0,4.0,0.85,14.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0010812624361789,0.1010180691738497,0.0037174486501606,0.0295557094974486,0.2637227863054359,0.3204607753575119,0.3862607288396034
691,2.0,5.0,5.0,1496.0,6.0,0.0724715521165225,4.0,4.0,0.85,10.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0014686592347209,0.0274840754801579,0.0020610994566379,0.0971193798066537,0.1982225751174879,0.0971148458855294,0.607543199190329
692,2.0,4.0,6.0,859.0,12.0,0.0176194811106053,4.0,4.0,0.85,12.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005400131889279,0.0475796982468533,0.0340305781655644,0.0500018441179253,0.2852725571922416,0.1816452929728192,0.483080305717014
