HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
0.01, 0, 0, 1, 0, 0, 0, 1, 4.366506229822066e-05, 0.0002057986440785847, 2.991967491631163e-14, 0.001054210988019632, 0.0002954256785972957, 7.450455368166223e-06, 0.9999863373083758
