Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1, 5, 10, 0, 0, 1, 0, 0, 0, 1, 0.0009357608502262249, 0.07092189999360377, 0.01157080963775412, 0.02921270273747467, 0.2651885088420432, 0.2089598100656878, 0.4925649198404373
4, 24, 94, 0, 0, 1, 0, 0, 0, 1, 0.0001021284353348541, 0.06962514783479476, 0.0006373199298388345, 0.007803986808113292, 0.1739368765801245, 0.1626223997990683, 0.6554217680798504
4, 24, 91, 0, 0, 1, 0, 0, 0, 1, 0.0001104533655384973, 0.07068533252627474, 0.0008045177017216898, 0.007964842935614249, 0.178612314308304, 0.1661825127866857, 0.6461872460376467
4, 24, 94, 0, 1, 0, 0, 0, 1, 0, 9.107448293268222e-05, 0.07034046994460462, 0.0009310721870159947, 0.00746388018855449, 0.1914956625037652, 0.1701665080364274, 0.6250884715990329
3, 16, 64, 0, 0, 1, 0, 0, 0, 1, 0.0002625889025055101, 0.08091890318954882, 0.003224998157790843, 0.01118255608096329, 0.2037681066908275, 0.2000895026728099, 0.583144516443715
