,age_death_rate,collaboration_bonus,max_age,mean_intelligence,mean_proactive_aggression,mean_reactive_aggression,mean_speed,mean_strength,murder_rate,starvation_rate
3,0.2724120875849185,0.1,298.0,0.4440546442140803,0.5176761435118635,0.4738091922228521,0.1901400321487551,0.4306979827964993,0.3943433210634241,0.3698841091347255
4,0.6982155636042079,0.1,127.0,0.4589694847118199,0.473642096284321,0.5220324744494705,0.090070717758882,0.4823286236718747,0.140526264521943,0.1543178463452342
7,0.4454673989252438,0.1,197.0,0.4472128486558827,0.5057602095129987,0.5115232965012791,0.1689803483851695,0.4740933026818469,0.2513993876698357,0.2979148027842369
8,0.8307561179688224,0.1,50.0,0.4405951423576924,0.4888312060475722,0.491740607354484,0.0392074385276632,0.470565344223938,0.0728976788352498,0.0680782921741156
9,0.3843845172566556,0.1,214.0,0.4443065571260315,0.5138975334496789,0.5085748650647712,0.1942764972484212,0.4718049764863789,0.2849490183382389,0.3412723822378516
