buy1,buy2,spoil_ratio,succes_ratio
4, 4, 0.5919585321520053, 0.4186836807098171
0, 0, 0.1822768612298021, 0.3137528561888995
0, 0, 0.1822768612298021, 0.3137528561888995
0, 0, 0.1822768612298021, 0.3137528561888995
0, 0, 0.1822768612298021, 0.3137528561888995
8, 8, 0.9076186383732318, 0.7031216266633677
0, 0, 0.1822768612298021, 0.3137528561888995
8, 7, 0.8865404194969013, 0.6688816936363846
5, 5, 0.7017083214488523, 0.4861401384154267
4, 5, 0.6238816755434128, 0.5566925686481624
1, 2, 0.2492458544297816, 0.5077462308849199
5, 5, 0.7017083214488523, 0.4861401384154267
6, 7, 0.826489535680791, 0.6009701949248364
6, 9, 0.8397484459631961, 0.7965567619886775
3, 8, 0.5280226078178277, 0.8624837256888123
0, 0, 0.1822768612298021, 0.3137528561888995
5, 5, 0.7017083214488523, 0.4861401384154267
0, 0, 0.1822768612298021, 0.3137528561888995
6, 6, 0.7911597606278504, 0.5622831598272986
8, 9, 0.9238274303210476, 0.7327778797704144
