,Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_fac,lost_ratio_sales_dis,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0,2,10,26,0.0402232574680843,0.0718695631662949,0,1,0,0,1,0,0,6.327101513538396e-10,0.0501575767221317,0.263109604975611,0.1958255640774172,0.4745558778148309
1,2,10,26,0.0402232574680892,0.0718695631662987,0,1,0,0,1,0,0,6.32710151353815e-10,0.0501575767221251,0.2631096049756442,0.1958255640774181,0.4745558778148397
2,2,10,26,0.04022325746809,0.0718695631662941,0,1,0,0,1,0,0,6.327101513537968e-10,0.0501575767221271,0.2631096049756411,0.195825564077416,0.4745558778148227
3,2,10,26,0.0090070126887825,0.0692800946110577,1,0,0,0,1,0,0,1.778579818197134e-11,0.0271488194623148,0.2370360339046419,0.1699322192492412,0.5606701728504648
4,2,10,26,0.0402232574680827,0.071869563166308,0,1,0,0,1,0,0,6.32710151353489e-10,0.0501575767221242,0.263109604975608,0.1958255640774157,0.474555877814847
5,2,10,40,0.06641382179206,0.0801047810857471,0,1,0,0,1,0,0,2.531049577366829e-09,0.0541612429808443,0.2495463929047148,0.2490790305506657,0.4261186059848134
6,2,10,26,0.0090070126887822,0.0692800946110726,1,0,0,0,1,0,0,1.7785798181971898e-11,0.0271488194623143,0.2370360339046588,0.1699322192492576,0.5606701728504617
7,2,10,34,0.0560692693323627,0.0763973728040309,0,1,0,0,1,0,0,1.534755616946728e-09,0.0544422186245978,0.2578508797351414,0.2231403953221621,0.4437176534128566
8,2,10,40,0.0664138217920559,0.080104781085745,0,1,0,0,1,0,0,2.5310495773661e-09,0.0541612429808411,0.2495463929047131,0.2490790305506894,0.4261186059848424
9,2,10,40,0.0664138217920427,0.0801047810857491,0,1,0,0,1,0,0,2.53104957736601e-09,0.0541612429808465,0.2495463929047137,0.2490790305506822,0.4261186059848151
10,2,10,40,0.0664138217920427,0.080104781085747,0,1,0,0,1,0,0,2.531049577366109e-09,0.0541612429808423,0.2495463929047016,0.2490790305506871,0.4261186059848483
11,2,10,40,0.0715159638194222,0.0802360934317288,0,1,0,0,0,1,0,2.689494329316342e-09,0.0568247540235778,0.2473583928505139,0.2460479649759973,0.4293255938274843
12,2,10,40,0.0664138217920473,0.080104781085738,0,1,0,0,1,0,0,2.531049577366001e-09,0.0541612429808429,0.2495463929047272,0.249079030550683,0.4261186059848151
13,2,10,40,0.0664138217920401,0.0801047810857494,0,1,0,0,1,0,0,2.531049577366092e-09,0.0541612429808423,0.2495463929047013,0.2490790305506623,0.4261186059848177
14,2,10,40,0.0664138217920444,0.080104781085748,0,1,0,0,1,0,0,2.531049577366019e-09,0.0541612429808422,0.2495463929047348,0.2490790305506869,0.4261186059848395
15,2,10,40,0.0664138217920405,0.0801047810857493,0,1,0,0,1,0,0,2.531049577366092e-09,0.0541612429808424,0.2495463929047232,0.2490790305506632,0.4261186059848174
16,2,10,40,0.0664138217920561,0.0801047810857323,0,1,0,0,1,0,0,2.531049577366046e-09,0.0541612429808511,0.2495463929047306,0.2490790305506581,0.4261186059848168
17,2,10,34,0.0560692693323582,0.0763973728040181,0,1,0,0,1,0,0,1.534755616946675e-09,0.0544422186245939,0.2578508797351412,0.2231403953221594,0.4437176534128396
18,2,10,40,0.066413821792048,0.0801047810857472,0,1,0,0,1,0,0,2.531049577364616e-09,0.0541612429808424,0.2495463929046999,0.2490790305506549,0.4261186059848514
20,2,10,33,0.0538949321034644,0.0758145092581275,0,1,0,0,1,0,0,1.378697049465215e-09,0.0539654737645065,0.2586008295651691,0.2195086976258248,0.4474391897637718
21,2,10,40,0.066413821792047,0.0801047810857472,0,1,0,0,1,0,0,2.531049577364616e-09,0.0541612429808424,0.2495463929046999,0.2490790305506722,0.4261186059848464
22,2,10,40,0.0715159638194158,0.0802360934317441,0,1,0,0,0,1,0,2.689494329315109e-09,0.0568247540235751,0.2473583928504989,0.2460479649759782,0.4293255938274724
23,2,10,40,0.0664138217920551,0.080104781085743,0,1,0,0,1,0,0,2.531049577365992e-09,0.0541612429808431,0.2495463929047362,0.2490790305506832,0.4261186059848434
24,2,10,40,0.066413821792049,0.0801047810857475,0,1,0,0,1,0,0,2.531049577364625e-09,0.0541612429808432,0.2495463929047222,0.2490790305506676,0.4261186059848258
25,2,10,40,0.0664138217920433,0.080104781085744,0,1,0,0,1,0,0,2.531049577364616e-09,0.0541612429808424,0.2495463929047104,0.2490790305506748,0.4261186059848383
26,2,10,27,0.0419505834509197,0.0724213061866431,0,1,0,0,1,0,0,7.07177178941401e-10,0.0506855563943507,0.2624624094588079,0.1990867633530583,0.4706690811264991
27,2,10,40,0.0136695830499518,0.0774207259700336,1,0,0,0,1,0,0,5.72510364499176e-11,0.0268192082065648,0.2190404137778705,0.2226543621620684,0.5191506879674652
28,2,10,40,0.0664138217920461,0.0801047810857472,0,1,0,0,1,0,0,2.5310495773656304e-09,0.0541612429808518,0.2495463929047354,0.2490790305506816,0.4261186059848203
