Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1, 1, 20, 0, 0, 1, 0, 0, 0, 1, 0.0001099022656759, 0.07344072271107924, 0.01803832533633662, 0.0321432474416589, 0.2875552724821293, 0.2933123303652734, 0.4424892668333222
1, 7, 25, 0, 0, 1, 0, 0, 0, 1, 7.075648655883489e-05, 0.07089782999898245, 0.0210776063518081, 0.02817838529823571, 0.2886391177826594, 0.2888183713497237, 0.4439569890131533
1, 1, 12, 0, 0, 1, 0, 0, 0, 1, 0.0002553302072723781, 0.07147355479883383, 0.01232171701737145, 0.03705035328014397, 0.2745220315631549, 0.2627798460485471, 0.4655992525474255
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0.0004358401769221872, 0.07681403073756052, 0.00822313602979617, 0.03053082298592472, 0.2536628725668074, 0.1736922179574825, 0.5520547655121493
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0.0004358401769221872, 0.07681403073756052, 0.00822313602979617, 0.03053082298592472, 0.2536628725668074, 0.1736922179574825, 0.5520547655121493
1, 1, 16, 0, 0, 1, 0, 0, 0, 1, 0.0001675178078577357, 0.07245098400207256, 0.01491260327957803, 0.03451280359971659, 0.2809926206769686, 0.2777880230127575, 0.4540194934843295
1, 1, 8, 0, 0, 1, 0, 0, 0, 1, 0.000331231208247799, 0.07299617000098763, 0.01058848110930202, 0.03526310765892427, 0.2672973596489524, 0.2294585440509759, 0.4942931232085749
1, 1, 48, 0, 0, 1, 0, 0, 0, 1, 0.0001087284725870834, 0.07972008125283848, 0.01064296138242363, 0.03682558507606377, 0.2848983909257166, 0.3126315609875747, 0.4368150969392445
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0.0004358401769221872, 0.07681403073756052, 0.00822313602979617, 0.03053082298592472, 0.2536628725668074, 0.1736922179574825, 0.5520547655121493
1, 1, 12, 0, 0, 1, 0, 0, 0, 1, 0.0002553302072723781, 0.07147355479883383, 0.01232171701737145, 0.03705035328014397, 0.2745220315631549, 0.2627798460485471, 0.4655992525474255
1, 1, 13, 0, 0, 1, 0, 0, 0, 1, 0.0002297965209633319, 0.07171676495442561, 0.01292444393653257, 0.0363996300567596, 0.2761309706679701, 0.2664825603332172, 0.4627003405526855
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0.0004358401769221872, 0.07681403073756052, 0.00822313602979617, 0.03053082298592472, 0.2536628725668074, 0.1736922179574825, 0.5520547655121493
1, 19, 28, 0, 0, 1, 0, 0, 0, 1, 4.228402224481863e-05, 0.06479880917145674, 0.02227343726929849, 0.02379589442755276, 0.2843461844593252, 0.2720524853154254, 0.4531109636848107
3, 24, 97, 0, 0, 1, 0, 0, 0, 1, 5.981431044246737e-05, 0.07653631353263421, 0.004389650137588777, 0.03527709339463576, 0.2665206534147604, 0.2926755007534834, 0.4587862858986511
1, 1, 5, 0, 0, 1, 0, 0, 0, 1, 0.0003843110985569668, 0.07485663421886851, 0.009550631858326322, 0.03287653457455634, 0.2617083424592644, 0.2019520952117907, 0.5204954967418941
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0.0004358401769221872, 0.07681403073756052, 0.00822313602979617, 0.03053082298592472, 0.2536628725668074, 0.1736922179574825, 0.5520547655121493
1, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0.0004223441131118965, 0.07632032665102409, 0.008536781971747773, 0.03110159406165739, 0.2556588474517163, 0.1804507856324042, 0.54419416677809
1, 1, 10, 0, 0, 1, 0, 0, 0, 1, 0.0002996054464129772, 0.07177002076151043, 0.0113392524704447, 0.03695852520285661, 0.2710523368750826, 0.249306668973103, 0.4767777283735794
1, 1, 11, 0, 0, 1, 0, 0, 0, 1, 0.0002837002469234079, 0.07123110614244171, 0.01174676355633473, 0.03771225432565974, 0.272918932723742, 0.2591104063211652, 0.4685004901520917
1, 1, 20, 0, 0, 1, 0, 0, 0, 1, 0.0001099022656759, 0.07344072271107924, 0.01803832533633662, 0.0321432474416589, 0.2875552724821293, 0.2933123303652734, 0.4424892668333222
