collaboration_bonus,max_age,mean_strength,mean_speed,mean_intelligence,murder_rate,age_death_rate,starvation_rate,mean_reactive_aggression,mean_proactive_aggression
0.1, 258, 0.448825770340109, 0.1987359864409947, 0.4415358282750459, 0.3481287897857186, 0.3069304942103704, 0.3676203799832711, 0.4872390192198714, 0.5219902794822338
0.1, 208, 0.472800346493969, 0.1854661267035856, 0.445370391492424, 0.2732774631770836, 0.4048661471877278, 0.326372660809006, 0.5098706896939171, 0.5108097950114381
0.1, 140, 0.4807983466140056, 0.1016452782230885, 0.456782254299043, 0.1574592190175872, 0.6552874887693273, 0.1758953604971867, 0.5200819656745658, 0.4795983550148176
0.1, 103, 0.4814079898442495, 0.07082128002402802, 0.4574153435494045, 0.1142072579818463, 0.755859823169543, 0.1205130405462819, 0.5180778914842131, 0.4720453383508456
0.1, 124, 0.4826818126571363, 0.08757385430136316, 0.4594744578999207, 0.1368417556978374, 0.7076814436622471, 0.1496567769624509, 0.5224824986328892, 0.4722685777662592
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 156, 0.4789154261520274, 0.1176860798455592, 0.4540925731195397, 0.1805333337315884, 0.5988262031791554, 0.2056218294667688, 0.5176805050740571, 0.4869369261552511
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 50, 0.470565344223938, 0.03920743852766326, 0.4405951423576924, 0.07289767883524986, 0.8307561179688224, 0.06807829217411568, 0.491740607354484, 0.4888312060475722
0.1, 198, 0.4739757465915208, 0.1704294513175644, 0.4470452918535948, 0.2533394409672285, 0.4417375668449947, 0.3004424684052259, 0.5113730693843348, 0.5062193267935653
