,age_death_rate,collaboration_bonus,max_age,mean_intelligence,mean_proactive_aggression,mean_reactive_aggression,mean_speed,mean_strength,murder_rate,starvation_rate
1,0.8236689225641528,0.1,56.0,0.4425695218240044,0.4871424309736959,0.4947370185002262,0.0420438410466519,0.4718151689381492,0.0766813022817468,0.072768430166118
2,0.755859823169543,0.1,103.0,0.4574153435494045,0.4720453383508456,0.5180778914842131,0.070821280024028,0.4814079898442495,0.1142072579818463,0.1205130405462819
3,0.651866014741624,0.1,141.0,0.4566140737212311,0.4800567907765001,0.5199319004169396,0.1025882282554794,0.4806806475477606,0.1588281421488766,0.1776497068486405
5,0.6380256116507318,0.1,145.0,0.4559414506991076,0.4818908619902027,0.5193316036897304,0.1064378699753877,0.4802098728552215,0.1644004986054,0.1848042738932093
8,0.4305890655663391,0.1,201.0,0.4465426937623104,0.5075966126046596,0.5109223758152588,0.1748359902472279,0.4736230956815907,0.2592186808893502,0.3080982191244714
9,0.5508548027825009,0.1,169.0,0.4519091710914845,0.4929038109919426,0.5157287116531919,0.1322934158461744,0.4773859918112728,0.2011587254854879,0.2324015598177996
10,0.7200272041374397,0.1,120.0,0.4601478847788539,0.470437876173743,0.5230824739795366,0.0843420869253462,0.4831527581608056,0.1320558798527189,0.1436231871293567
12,0.5170234358294767,0.1,178.0,0.4503986636445044,0.4970360180964553,0.5143771853331854,0.1432846322966115,0.4763273992772208,0.2164412280180555,0.2523154854403284
13,0.803634172343465,0.1,72.0,0.4478432493496143,0.4826405701560519,0.5027287120407833,0.0505966703375861,0.4751497204097004,0.0876657605388827,0.0867639596285405
15,0.2861364575911934,0.1,281.0,0.4432770734967846,0.5191128303163262,0.4794468367117465,0.1939224003087063,0.4380344525882283,0.3758628670985771,0.3693807750055194
18,0.5768624846452186,0.1,162.0,0.4530846245208878,0.4896905133899597,0.5167797407665531,0.1242460397287273,0.478209482520784,0.1898408983352615,0.2176884430575275
19,0.4231949206224008,0.1,203.0,0.4462076890028434,0.5085147403805519,0.5106219035251244,0.1778232616105252,0.4733880096720934,0.2631871066699876,0.3132616726306651
25,0.3099165118283417,0.1,255.0,0.4412168885877514,0.5224900297143856,0.4882768252882448,0.1993177757276343,0.4503469012625639,0.344144207407811,0.3672471850747516
