Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,7,5,1433,13,0.08502219107351938,4,4,0.85,6,200,500,"1-DailyPurchase","4-Random",0.025288502073143475,0.21656814986037703,0.0006596307805925009,0.009215139906575324,0.056536825495807595,0.05329883737400884,0.8809491972236082
1,5,12,922,5,0.049482385225239345,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0015732710685086785,0.07443814055203239,0.0008575653323139744,0.06912773315973335,0.23104648521870336,0.23567496551049524,0.464150816111068
2,5,24,988,7,0.045413527289008236,4,4,0.85,8,200,500,"3-Random","2-(s,S)",0.0012814665026978983,0.06818784934659526,0.007546108348349068,0.04790269017951992,0.25466036565037264,0.29452992566017944,0.402907018509928
2,10,5,388,10,0.03305519178747569,4,4,0.85,1,200,500,"3-Random","3-(R,S)",0.0002657656225038777,0.08217527689241352,0.026297131140960144,0.01631841272027793,0.27703254536471994,0.15111588630786796,0.5555331556071341
2,3,19,429,11,0.052028686203360965,4,4,0.85,14,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0019339392664707346,0.08081130375643664,0.06420441838981143,0.0590168600123184,0.17744203695459,0.23219579868664558,0.531345304346446
1,9,8,1424,12,0.017201846498116027,4,4,0.85,4,200,500,"3-Random","2-(s,S)",0.0002597603102095781,0.06794967889210812,0.013288964717909685,0.02781423521705509,0.31214553072998447,0.20028849097480453,0.459751743078156
1,5,17,775,14,0.033185981539585685,4,4,0.85,1,200,500,"3-Random","4-Random",0.0011750821968313184,0.10695796878507687,0.0022274032981229575,0.029370484480572907,0.24639905136081616,0.24787509781986783,0.4763553663387431
2,10,38,157,14,0.01001768406805929,4,4,0.85,2,200,500,"3-Random","1-(s,Q)",0.0001106971969930616,0.07968708820023965,0.14439561087988928,0.006884500589772996,0.35178780042935975,0.3354841728543631,0.3058435261265041
3,6,1,1356,5,0.05481088015949403,4,4,0.85,4,200,500,"1-DailyPurchase","1-(s,Q)",4.028051765629357e-05,0.0,0.0,0.01502157939492201,0.07514548344103948,0.04201483001360258,0.867818107150436
2,3,27,1088,3,0.06725826545026811,4,4,0.85,1,200,500,"1-DailyPurchase","1-(s,Q)",0.0005779967942033476,0.1114296805482191,0.0017107770910754965,0.015936942668914194,0.12222277867060671,0.31258965513657994,0.5492506235238992
3,3,37,973,7,0.037713512900660016,4,4,0.85,14,200,500,"3-Random","2-(s,S)",0.0023018874131091704,0.0861598105659421,0.10774569420589944,0.06190984446633622,0.15062019886397127,0.2597121565689231,0.5277578001007693
2,6,6,882,8,0.07116988064802462,4,4,0.85,10,200,500,"1-DailyPurchase","1-(s,Q)",0.000295794653660525,0.012824271162037947,0.000769959321618141,0.016787408559214446,0.14794736537917086,0.07436370499541893,0.7609015210661957
2,8,13,3,3,0.061149948034867126,4,4,0.85,12,200,500,"2-PeriodicallyPurchase","4-Random",0.01836172600224421,0.25338078291814947,0.7957341178633814,0.019187338558346638,0.5181688528087505,0.18205735987346522,0.2805864487594377
2,3,13,483,7,0.04211940416514767,4,4,0.85,1,200,500,"3-Random","3-(R,S)",0.0003540388543101031,0.05548585101727084,0.032956070273973376,0.022875018432165356,0.2701725357530581,0.29034447045724593,0.4166079753575306
3,7,26,712,8,0.030999777123010927,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0017177645380394356,0.09603841187286148,0.012062279183962106,0.03875487105297575,0.18050730792073258,0.207072282923973,0.5736655381023187
2,5,36,576,6,0.026405037055995513,4,4,0.85,2,200,500,"3-Random","1-(s,Q)",0.0009751470267836261,0.11247877363416268,0.017381361597341827,0.016673287419732473,0.21523833025148828,0.3295237674212077,0.4385646149075715
2,9,12,712,13,0.07764766751172751,4,4,0.85,5,200,500,"1-DailyPurchase","3-(R,S)",0.0012187994774699922,0.08098496131619468,0.0017769116727583145,0.007365457613148045,0.1850188907045802,0.12141417179133394,0.6862014798909379
2,8,16,149,5,0.0604090989205873,4,4,0.85,12,200,500,"1-DailyPurchase","2-(s,S)",0.002112634116219952,0.09059699294122979,0.13317536976379596,0.019807135905795553,0.3536248590882706,0.23512141244884283,0.39144659255709113
2,1,9,394,6,0.05350169175961466,4,4,0.85,0,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.003903687423951399,0.1335419210225245,0.01018976222213963,0.05456989890552184,0.11831658770340577,0.3004400464291426,0.5266734669619296
2,6,27,1198,5,0.09847200359752023,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0020969514813859334,0.06333695725230722,0.04326068282158339,0.06499977060509379,0.19614189469981935,0.19733753416272046,0.5415208005323663
2,9,15,609,5,0.09404848630857261,4,4,0.85,13,200,500,"3-Random","2-(s,S)",0.003125387283053683,0.06564401614789521,0.1304460371489287,0.09263867409389533,0.2415807772740361,0.17475639592213266,0.491024152709936
1,7,26,30,13,0.08869399371558527,4,4,0.85,12,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.007005441487830834,0.12612724599455,0.26592956311735283,0.03008845698665753,0.3832440678358732,0.3762506310812901,0.2104168440961792
1,9,30,34,9,0.06430977829863979,4,4,0.85,15,200,500,"2-PeriodicallyPurchase","4-Random",0.008981729182082076,0.20661956619566196,0.6854382921137006,0.032413194998068516,0.4607120555203255,0.3235427145719057,0.18333203490970038
2,10,5,1149,6,0.08677460085602279,4,4,0.85,12,200,500,"1-DailyPurchase","4-Random",0.0004322253989453971,0.04028940063857926,0.004264489258357032,0.02770257224571407,0.1357703361371454,0.08101526305175501,0.7555118285653855
2,9,7,790,3,0.04901038544802567,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0011063096345894814,0.08337907126619123,0.05815431167108318,0.06816030666580745,0.3153697785006524,0.17014455306238316,0.4463253617711569
2,10,11,1229,11,0.08092845993068705,4,4,0.85,14,200,500,"1-DailyPurchase","4-Random",0.0011776447657812696,0.060984848174966313,0.0010219915439022432,0.01779510654908258,0.1476872948591516,0.09063336641601087,0.743884232175755
