,age_death_rate,average_population,collaboration_bonus,max_age,mean_intelligence,mean_proactive_aggression,mean_reactive_aggression,mean_speed,mean_strength,murder_rate,starvation_rate
1,0.2115773887116202,38.7002401135137,0.1,296.0,0.414716958091451,0.4932742502578957,0.4733841147021376,0.1818710076614101,0.4059197902284176,0.2957678626626846,0.5201476553241403
5,0.3918838602941703,40.44920310369176,0.1,161.0,0.4343948697916887,0.5056602123395192,0.4770714794186446,0.142425927506803,0.4213367345292987,0.2723561948225167,0.3171483451656448
6,0.2058924384486889,38.85053433998578,0.1,300.0,0.4140400508874108,0.4927948502240439,0.4732378002884136,0.1833391725611695,0.4054116335869915,0.297004464911548,0.527502235235705
12,0.7913450427240796,42.18168790132786,0.1,109.0,0.4503426825985885,0.4973130833571562,0.484544136626435,0.1023485348893629,0.4435782054894791,0.1094990629766138,0.1056252755274233
16,0.1377224568592519,177.7037607545329,4.9,299.0,0.4109033385274947,0.4972588459778889,0.4850633939351066,0.1871972205116736,0.4050051344366475,0.2088281252610293,0.6824872101043981
17,0.5093979978821439,41.36746090754718,0.1,115.0,0.4480952380041203,0.5000149035776187,0.4902014155497787,0.1039707767974199,0.4435969025204388,0.1216414525235694,0.3767520905780637
18,0.9632942095448378,42.28666669372632,0.1,88.0,0.4538206179779519,0.4964510124353118,0.4927290770081396,0.0912871953866204,0.4502221691009445,0.0297951655912916,0.0022644293130221
24,0.8925339588757201,42.86021039614508,0.1,104.0,0.4546473546268972,0.4972409610744302,0.4869632619074248,0.0958649204733234,0.4482594189303679,0.0883144157674461,0.0364341152563682
26,0.6152452819775531,41.63886990547408,0.1,113.0,0.4488441552743878,0.499114289142309,0.4883153053761254,0.1034275196034235,0.4435906701590304,0.1174702449933491,0.2596771901976229
27,0.1674079399561066,112.0484239423483,3.1,298.0,0.4113649694851054,0.4958715602028899,0.4808072733514306,0.1880500547119418,0.4042584697441109,0.2347619784010921,0.6368454599007292
28,0.7112029319030861,41.91027890340096,0.1,111.0,0.4495933045817893,0.4982136804542265,0.486429527863641,0.1028867750403653,0.4435844378153765,0.1134236020718523,0.1691115361003358
30,0.1393628955715547,172.4269477872201,4.800000000000001,299.0,0.4109184049034028,0.4971985450767459,0.4848356193502765,0.187281113145685,0.40494697924747,0.2100425069383782,0.6802313283499064
34,0.6649259811349377,41.77457440443753,0.1,112.0,0.4492187011313328,0.4986639837146227,0.4873723716853963,0.1031568337564859,0.4435875539849841,0.1154315057317414,0.2108528905535753
35,0.4560534263118431,41.23175640858373,0.1,116.0,0.4477242762483186,0.5004624629101515,0.4911300266413426,0.1042450141712195,0.4435966016173533,0.1237952192363753,0.4418445485807522
38,0.2087206641716637,38.77538722674974,0.1,298.0,0.4143784640721518,0.4930345486398284,0.4733109569222865,0.1826039442093408,0.4056656866493049,0.2963857905231929,0.523826236970361
40,0.6974811423810833,38.51139016602869,0.3,111.0,0.4493767038907143,0.4984164098822819,0.4866728612711729,0.103243821880634,0.4434208009333697,0.1148040740109167,0.1799884889201891
41,0.9701630220078584,41.42356580122338,0.1,85.0,0.454200356177056,0.4965583430479372,0.4944543497371785,0.0897042113021464,0.4512766634707752,0.0240570729349961,0.0013411291055009
43,0.2957137983229179,39.93034031242404,0.1,237.0,0.4240390859639214,0.4996417905819374,0.4754149774157848,0.1624478618832272,0.4130563014950888,0.2806804253835269,0.4211094495732445
47,0.1596509877302336,119.9021531720247,3.6,300.0,0.4110505098499437,0.4964754654434225,0.4821115052883489,0.1883772080475788,0.4042106366701929,0.224716546607081,0.653271825623142
48,0.563039184828541,41.50316540651063,0.1,114.0,0.4484696674267917,0.4995645960068046,0.4892583222327387,0.1036988336082468,0.4435937863375154,0.1195401261534559,0.3152901147173947
49,0.994673793204935,33.51826302277592,0.1,51.0,0.4581205387795274,0.4977543574169975,0.5072224055180157,0.0768576978123911,0.4604399260492761,0.0043610556666959,5.215339126553712e-06
