buy1,buy2,succes_ratio,spoil_ratio
0,6,0.32537960954446854,0.9069396437117788
8,1,0.5489021956087824,0.8574375429750172
3,4,0.6421267893660532,0.8083818915284626
8,1,0.5523385300668151,0.8715117446295925
9,4,1.0,0.8525317016937128
1,4,0.37924865831842575,0.8867894569704668
0,2,0.31905781584582443,0.8181159420289855
2,5,0.5597826086956522,0.877951232099084
4,2,0.5528169014084507,0.18243243243243243
8,0,0.34235976789168276,0.895302915721368
2,7,0.6060606060606061,0.8679889102153977
9,9,0.9980694980694981,0.8718731238743246
8,2,0.6643990929705216,0.8819158387852355
5,7,0.9670781893004116,0.8162799543552681
4,1,0.49101796407185627,0.7878677806029786
9,5,1.0,0.8824943003265758
0,5,0.3305084745762712,0.8763701707097934
4,6,0.8242990654205608,0.7564293304994687
9,2,0.5673076923076923,0.8897689768976897
7,5,1.0,0.8077990746860542
4,6,0.8165467625899281,0.740895383901647
6,6,0.974025974025974,0.7537217423267781
9,6,0.9943074003795066,0.843192868719611
9,3,0.720703125,0.8743550614054211
2,8,0.6179540709812108,0.8805509181969949
0,9,0.3225806451612903,0.9063462723351817
7,8,0.990234375,0.8706958983474883
4,7,0.8323586744639376,0.8381130750321901
6,8,0.9935897435897436,0.8659867341844376
1,2,0.3548387096774194,0.1903485254691689
7,6,0.9957805907172996,0.8427780957832475
1,3,0.437137330754352,0.4601063829787234
1,5,0.5053304904051172,0.8428828109403075
6,6,0.9907235621521335,0.7752961082910321
9,5,0.9651416122004357,0.8685475013728721
4,5,0.8472803347280334,0.6582322357019064
7,2,0.6118721461187214,0.8836842105263157
2,7,0.6448979591836734,0.8751420014458329
8,1,0.505091649694501,0.8834542081295328
8,9,1.0,0.8756620693271803
2,6,0.6055226824457594,0.8499927462643261
5,0,0.2967741935483871,0.9060592850915432
0,1,0.1053763440860215,0.37423312883435583
6,6,0.9979633401221996,0.7328741623231572
3,8,0.7166979362101313,0.8501491309266688
6,3,0.756701030927835,0.8278562653562653
3,4,0.7457264957264957,0.5393700787401575
2,7,0.6239837398373984,0.869240614334471
5,6,0.9702127659574468,0.8389982110912343
3,6,0.7408123791102514,0.8271126191630311
2,4,0.6209850107066381,0.7104332449160036
7,3,0.7130124777183601,0.831913760979505
9,1,0.5216572504708098,0.9035346097201767
7,6,1.0,0.8049257232212667
3,7,0.7221135029354208,0.8311345646437994
2,8,0.6058091286307054,0.8876845743009739
6,6,1.0,0.7341671629938455
3,8,0.7555110220440882,0.8448635132319233
1,9,0.5131313131313131,0.8946794740786157
2,3,0.4922779922779923,0.26187050359712233
0,2,0.18455743879472694,0.15
9,6,0.9916492693110647,0.8769785022442712
4,2,0.6506550218340611,0.6964117091595845
0,8,0.316,0.8934616661135081
2,2,0.47770700636942676,0.21176470588235294
9,6,0.9977728285077951,0.8927839278392784
3,8,0.757201646090535,0.8747210974299645
9,8,1.0,0.8901853122855182
3,2,0.5745967741935484,0.2805049088359046
2,4,0.6371681415929203,0.6570048309178744
5,5,0.9641434262948207,0.6841950646298472
6,3,0.7037773359840954,0.812991452991453
1,6,0.46954813359528486,0.8795195489643338
8,3,0.7681451612903226,0.8679078014184397
6,3,0.7715430861723447,0.8233022207917605
0,5,0.3248407643312102,0.8473047304730473
8,0,0.3533980582524272,0.9169594752869524
5,5,0.9793388429752066,0.6564580559254327
8,0,0.32916666666666666,0.9112942913385826
9,6,0.9980842911877394,0.8229092208720514
5,9,0.96900826446281,0.8639275458360945
1,0,0.20675105485232068,0.1968503937007874
1,8,0.5141129032258065,0.8868864712233203
7,9,1.0,0.8689614592527214
2,9,0.5811808118081181,0.902458222329862
9,1,0.4822834645669291,0.8960479979131342
9,0,0.2803180914512923,0.9219991536978701
9,9,1.0,0.8867924528301887
7,7,1.0,0.8373695976154992
2,3,0.5199203187250996,0.43197278911564624
2,1,0.3405940594059406,0.1712707182320442
9,5,0.9872881355932204,0.8614657908332718
5,7,0.9203703703703704,0.8085251259703119
1,8,0.5296803652968036,0.8869642281662907
5,5,0.9828326180257511,0.7246922883697563
0,3,0.2535496957403651,0.6268656716417911
8,4,0.8522267206477733,0.8521902967498822
8,0,0.348993288590604,0.9062033127638843
5,5,0.954,0.7312354913592984
2,6,0.5808823529411765,0.8255528255528255
4,6,0.8618042226487524,0.7630371297455152
5,1,0.4599236641221374,0.8245420436989627
9,6,0.9746835443037974,0.8386338843668708
8,6,1.0,0.858211957833749
0,9,0.3228511530398323,0.9113171659534
4,1,0.5221052631578947,0.8139607354315986
7,5,0.974304068522484,0.8222776985259154
1,2,0.38596491228070173,0.3150684931506849
7,0,0.3407707910750507,0.9106598984771573
8,2,0.5895372233400402,0.8885208882197968
8,5,0.9956989247311828,0.844153396777537
1,6,0.4675572519083969,0.889777077234857
6,1,0.5363825363825364,0.8804978250362494
2,5,0.6190476190476191,0.6956862745098039
4,0,0.36134453781512604,0.8860254083484573
5,1,0.5184426229508197,0.8342099726488533
6,8,0.9858870967741935,0.8422138191818495
7,0,0.33457943925233646,0.9104773077205074
4,0,0.29912663755458513,0.9093643198906357
4,5,0.841897233201581,0.6594904915679942
3,4,0.7441860465116279,0.4566691785983421
9,0,0.3587521663778163,0.9123087085764615
3,6,0.7057613168724279,0.8364678225095504
1,6,0.48161764705882354,0.861800346220427
7,6,0.9954128440366973,0.8712994931315654
7,2,0.6088709677419355,0.8826924867330789
0,6,0.33905579399141633,0.8803141077714595
8,5,0.9603024574669187,0.8212629719584897
6,8,0.9912472647702407,0.8663052008275666
4,3,0.7276341948310139,0.45338345864661656
3,2,0.5442043222003929,0.28450704225352114
7,8,1.0,0.8472371039338742
7,9,1.0,0.8841353833865815
6,3,0.7316561844863732,0.8123419322205362
6,0,0.3333333333333333,0.919584546384452
7,1,0.47959183673469385,0.8813459268004723
4,5,0.8032200357781754,0.35858234885337037
7,5,1.0,0.841182682154171
8,8,0.9981343283582089,0.8579064889370052
7,9,1.0,0.87444909651829
4,3,0.6924603174603174,0.4993103448275862
8,8,0.9955456570155902,0.8813365254501926
2,4,0.5907335907335908,0.5355805243445693
2,1,0.3516699410609037,0.17759562841530055
4,8,0.847953216374269,0.843547077922078
2,0,0.34285714285714286,0.825563909774436
4,4,0.7846153846153846,0.32211942809083266
3,5,0.7338551859099804,0.7436950146627566
9,6,1.0,0.8536301469518406
7,5,0.9707112970711297,0.8272882319499716
9,6,0.9938775510204082,0.8634301577628817
8,3,0.7861771058315334,0.8759740792387827
6,7,0.9719298245614035,0.7723404255319148
0,7,0.3197424892703863,0.9068391241863217
4,3,0.7244444444444444,0.6
9,7,0.9957264957264957,0.8930425258345636
0,2,0.20412371134020618,0.2937062937062937
4,0,0.3333333333333333,0.8899772608011195
7,2,0.6106032906764168,0.8808820633983068
6,8,0.9978768577494692,0.8656727272727273
5,3,0.7534246575342466,0.7151394422310757
3,3,0.6454183266932271,0.2527743526510481
9,0,0.3025540275049116,0.9227157479575547
2,2,0.4596949891067538,0.22072936660268713
0,3,0.30864197530864196,0.4515539305301645
5,7,0.9648760330578512,0.8106740862526874
2,4,0.604040404040404,0.6996790463090325
4,9,0.8441814595660749,0.8709607772580065
2,8,0.6071428571428571,0.8868340284882348
0,2,0.18761726078799248,0.3127147766323024
5,0,0.3767123287671233,0.9078264709129042
