,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
2,1.0,41.0,1.0,0.019312062432731,5.117854642226378e-07,1.5753256798629863e-08,0.0062667412389623,0.1726488050691584,0.5281895042069815,0.1250013769171394,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,1.0,50.0,1.0,0.0209081731236651,8.957124502675864e-07,2.0696233467684233e-08,0.0083543944126993,0.1942395289318024,0.4492778902887808,0.1883758848744758,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,1.0,49.0,1.0,0.0206970918171781,8.087086137340433e-07,1.921303312052292e-08,0.0081546746071118,0.189500452599448,0.4620140597351639,0.1791758720284701,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,1.0,12.0,1.0,0.0151863094497076,1.292041736236294e-07,8.537376993675906e-09,0.0026169855228679,0.1345724112127129,0.7006760067189926,0.0385483740086668,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,1.0,39.0,1.0,0.018991447237031,4.547967653034206e-07,1.496367550849831e-08,0.0058743654756726,0.1682617066122363,0.5456386192925322,0.1135804374938116,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,1.0,1.0,1.0,0.0138736469551325,8.420120178006463e-08,6.725763314465879e-09,0.00196934498682,0.1272637357768029,0.7365537263509666,0.0274642448330345,0.0,0.0,0.0,0.0,0.0,1.0,1.0
