,HC,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
0.01,0.0,0.0386303151679484,,0.0801913511962713,0.0091503045164815,0.2237382682266802,0.6471509807440492,0.132835897626637,0.0,0.0,1.0,0.0,1.0,0.0,0.0001668084649083
0.01,0.0,0.0416012147597928,,0.0830438382162647,0.009925020896784,0.2285809381010533,0.6330070873747056,0.1376245734108578,0.0,0.0,1.0,1.0,0.0,0.0,0.0001925529306686
