,buy1,buy2,spoil_ratio,succes_ratio
2,2.0,2.0,0.3499664559660465,0.3259312545983122
3,7.0,7.0,0.635600713375385,0.859170167848404
4,3.0,3.0,0.3735553529293683,0.4595103887016707
6,1.0,1.0,0.3270893697138662,0.2156874267060295
7,6.0,6.0,0.5622831598272986,0.7911597606278504
9,5.0,5.0,0.4861401384154267,0.7017083214488523
