Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 2, 0, 0, 1, 0, 0, 0, 1, 6.068207179379069e-05, 0.0001313157909035532, 1.056494240207836e-31, 5.138898603330125e-08, 3.758886588334445e-12, 4.397969386173652e-13, 0.9999999999999276
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 6.894979024493777e-05, 0.0001319821164769528, 1.015575224762357e-31, 5.237234867361419e-08, 3.655025395804484e-12, 4.364159936065993e-13, 0.9999999999999292
