,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
22,21.0,35.0,4.0,9.107700844738356e-05,2.2654560207630358e-32,3.427465495264549e-05,4.300233002800287e-08,2.046327878177325e-12,0.9999999999999633,2.273905997716901e-13,0.0,1.0,0.0,0.0,0.0,1.0,0.0
33,1.0,2.0,1.0,0.0001313157909035,1.056494240207836e-31,6.068207179379069e-05,5.138898603330125e-08,3.758886588334445e-12,0.9999999999999276,4.397969386173652e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0
42,10.0,21.0,1.0,0.0001117895854697,1.092852760379361e-31,4.807249007033955e-05,6.20040529288484e-08,4.164249188246452e-12,0.999999999999919,4.617388804067876e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48,1.0,1.0,1.0,0.0001319821164769,1.015575224762357e-31,6.894979024493777e-05,5.2372348673614193e-08,3.6550253958044836e-12,0.9999999999999292,4.364159936065993e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0
49,9.0,19.0,1.0,0.0001133290582717,1.094289254020656e-31,4.574770767301447e-05,5.9484147434262254e-08,4.127863960887324e-12,0.9999999999999204,4.551000624449444e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0
