Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3.606683868913812e-08, 0.009361155016335301, 1.651410996149046e-19, 5.61165740404785e-07, 1.416433072349075e-05, 8.316796979367149e-05, 0.9999908924309362
