,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
0,18.0,64.0,3.0,0.0807844306378907,0.0035970445988705,0.0002218740406259,0.0108868541947531,0.2145491483002181,0.5648268197403292,0.2027763970746763,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,24.0,94.0,4.0,0.0696251478347947,0.0006373199298388,0.0001021284353348,0.0078039868081132,0.1739368765801245,0.6554217680798504,0.1626223997990683,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,6.0,23.0,1.0,0.0768805799319651,0.0092063714147979,0.0005908358762337,0.028572752043332,0.272342284418871,0.4524822590596436,0.2548293308553994,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,22.0,87.0,4.0,0.0721323661167891,0.0009265222416813,0.0001399783064783,0.0084052205806151,0.1756993705518279,0.6520681330669107,0.1661574143359213,0.0,0.0,0.0,0.0,0.0,1.0,1.0
