,"1-(s,Q)",1-DailyPurchase,"2-(s,S)",2-PeriodicallyPurchase,"3-(R,S)",3-Random,4-Random,Clients_N,DS_D,Demand_W,Distr1,Distr2,Fact,HC,K,Lt0,Lt1,MA,SS_%,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative
7663,1.0,1.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,2.0,11.0,18.0,3.0,0.0324556156907685,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0043907963942717,0.3030114967495694,0.6060229934991389,0.0865747133570198
7664,0.0,1.0,0.0,0.0,0.0,0.0,1.0,323.0,5.0,28.0,8.0,22.0,2.0,0.0734856904849215,200.0,4.0,4.0,500.0,0.85,0.1264636688054615,0.000712673618783,0.0014033242825717,0.0064266147471551,0.1330952373507872,0.7348658290615315,0.125612318840526
7665,0.0,0.0,0.0,0.0,1.0,1.0,0.0,212.0,3.0,28.0,9.0,13.0,2.0,0.0506142091166974,200.0,4.0,4.0,500.0,0.85,0.0715863105482329,0.0018974210090298,0.0002168797077645,0.0179665879975048,0.2596830555065833,0.5555666402133183,0.1667837162825937
7666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,289.0,3.0,20.0,18.0,13.0,4.0,0.0396292336559901,200.0,4.0,4.0,500.0,0.85,0.0990398184776431,0.0089718346032017,0.0001043723974903,0.0028673209386726,0.1770567374018948,0.7353261276981212,0.0847498139613113
7667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,98.0,5.0,21.0,11.0,8.0,3.0,0.0138283929107134,200.0,4.0,4.0,500.0,0.85,0.1048861976209951,0.0672456027906669,2.1554169030062395e-05,0.0032256562049975,0.3286788586582936,0.4883840733311774,0.1797114118055313
7668,1.0,0.0,0.0,0.0,0.0,1.0,0.0,293.0,2.0,10.0,7.0,23.0,3.0,0.0399305029675375,200.0,4.0,4.0,500.0,0.85,0.1050293246580891,0.0066659709127701,0.0006356580318703,0.0169530941257828,0.2225011864276346,0.5032458104745516,0.2572999089720311
7669,1.0,0.0,0.0,0.0,0.0,1.0,0.0,259.0,0.0,3.0,4.0,10.0,2.0,0.0940514939549167,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0091103771187978,0.2831113208232006,0.5662226416464012,0.1415556604116003
7670,0.0,0.0,1.0,1.0,0.0,0.0,0.0,44.0,9.0,25.0,6.0,1.0,2.0,0.0307206117656049,200.0,4.0,4.0,500.0,0.85,0.083718429944363,0.0464243117636721,0.0001414100467124,0.0268743954244698,0.3130430096175134,0.5126265019311781,0.1474560930268386
7671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,1.0,2.0,3.0,1.0,0.0631496950687159,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0,0.25,0.25,0.5
7672,1.0,0.0,0.0,1.0,0.0,0.0,0.0,432.0,5.0,22.0,22.0,12.0,4.0,0.0717411085761444,200.0,4.0,4.0,500.0,0.85,0.0165068417564914,0.0,0.0018172249259313,0.0306132145984472,0.0731678195363827,0.825842842902304,0.0703761229628661
7673,0.0,1.0,0.0,0.0,1.0,0.0,0.0,622.0,0.0,15.0,7.0,17.0,2.0,0.0246686363266825,200.0,4.0,4.0,500.0,0.85,0.0786629837021629,0.0136803004382527,0.000325087501378,0.0037784636759789,0.2008714635825298,0.6183950667645435,0.1769550059769477
7674,0.0,0.0,0.0,1.0,1.0,0.0,0.0,308.0,0.0,13.0,15.0,44.0,4.0,0.059779205330992,200.0,4.0,4.0,500.0,0.85,0.0750864729996218,0.0057592903986491,0.0007321356943411,0.0210010136989519,0.2673178140665806,0.4858777493496103,0.2258034228848571
7675,0.0,0.0,0.0,0.0,0.0,1.0,1.0,848.0,0.0,5.0,5.0,17.0,2.0,0.0895434972268185,200.0,4.0,4.0,500.0,0.85,0.0764230920320942,0.0045409442633315,0.000815698014058,0.0276004251340743,0.1875429937792471,0.5973561688074411,0.1875004122792373
7676,1.0,0.0,0.0,1.0,0.0,0.0,0.0,251.0,6.0,21.0,3.0,10.0,2.0,0.0786773772230434,200.0,4.0,4.0,500.0,0.85,0.0947528995709007,0.0001534764718927,0.0030724595982954,0.0396562173422932,0.0842832624609088,0.7489399646817844,0.1271205555150135
7677,0.0,0.0,1.0,0.0,0.0,1.0,0.0,107.0,6.0,28.0,1.0,3.0,1.0,0.0695940027028125,200.0,4.0,4.0,500.0,0.85,0.0573237728499308,0.0270776358019534,0.0009508264076347,0.0308699871229806,0.2186920059794627,0.5684908728933913,0.1819471340041653
