collaboration_bonus,max_age,mean_strength,mean_speed,mean_intelligence,murder_rate,age_death_rate,starvation_rate,mean_reactive_aggression,mean_proactive_aggression,average_population
0.1, 240, 0.4127353077057533, 0.1632606963646046, 0.4236420016457016, 0.2811208261512141, 0.2923872736571835, 0.425072490309588, 0.4753260250146493, 0.4993970181708509, 39.76187460095076
0.1, 111, 0.4435844378153765, 0.1028867750403653, 0.4495933045817893, 0.1134236020718523, 0.7112029319030861, 0.1691115361003358, 0.486429527863641, 0.4982136804542265, 41.91027890340096
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 93, 0.4484656765081195, 0.09398139027061916, 0.4531878405797303, 0.04241938709243781, 0.9483519009580159, 0.005412560504076834, 0.4898540275330455, 0.4962721288126786, 43.72516818123119
0.1, 116, 0.4435966016173533, 0.1042450141712195, 0.4477242762483186, 0.1237952192363753, 0.4560534263118431, 0.4418445485807522, 0.4911300266413426, 0.5004624629101515, 41.23175640858373
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 101, 0.4456241544193664, 0.09847324703615812, 0.4521802315097722, 0.07377957536877668, 0.9121483247859195, 0.02139024997222686, 0.4852463454383924, 0.4960586963907623, 43.2673238930354
0.1, 140, 0.4299079866997708, 0.1258855452723233, 0.4404828079223123, 0.2153818927934664, 0.4456176089782243, 0.3413332383916189, 0.4809141047972607, 0.5041880059461052, 38.48441613903962
0.1, 113, 0.4435906701590304, 0.1034275196034235, 0.4488441552743878, 0.1174702449933491, 0.6152452819775531, 0.2596771901976229, 0.4883153053761254, 0.499114289142309, 41.63886990547408
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 258, 0.4107571881205823, 0.1683779071093617, 0.4211633017524709, 0.2841708243306046, 0.2712206911892386, 0.4502945028871997, 0.4747743260999233, 0.4978290428930531, 38.75108033211119
0.1, 108, 0.4435750893331896, 0.1020803513974514, 0.4507174563319639, 0.1075818022977774, 0.8247636752417814, 0.08253650012242267, 0.4836016026036156, 0.4968627909813551, 42.31739240029131
0.1, 101, 0.4456241544193664, 0.09847324703615812, 0.4521802315097722, 0.07377957536877668, 0.9121483247859195, 0.02139024997222686, 0.4852463454383924, 0.4960586963907623, 43.2673238930354
0.1, 115, 0.4435969025204388, 0.1039707767974199, 0.4480952380041203, 0.1216414525235694, 0.5093979978821439, 0.3767520905780637, 0.4902014155497787, 0.5000149035776187, 41.36746090754718
0.1, 113, 0.4435906701590304, 0.1034275196034235, 0.4488441552743878, 0.1174702449933491, 0.6152452819775531, 0.2596771901976229, 0.4883153053761254, 0.499114289142309, 41.63886990547408
0.1, 51, 0.4604399260492761, 0.07685769781239118, 0.4581205387795274, 0.00436105566669593, 0.994673793204935, 5.215339126553712e-06, 0.5072224055180157, 0.4977543574169975, 33.51826302277592
0.1, 91, 0.4491681217812564, 0.09289526323149301, 0.453440933502523, 0.03685022973054332, 0.9549175984324794, 0.003820943433392857, 0.4910039774373972, 0.4963436821497725, 43.14976758622923
