,age_death_rate,average_population,collaboration_bonus,max_age,mean_intelligence,mean_proactive_aggression,mean_reactive_aggression,mean_speed,mean_strength,murder_rate,starvation_rate
0,0.2923872736571835,39.76187460095076,0.1,240.0,0.4236420016457016,0.4993970181708509,0.4753260250146493,0.1632606963646046,0.4127353077057533,0.2811208261512141,0.425072490309588
1,0.7112029319030861,41.91027890340096,0.1,111.0,0.4495933045817893,0.4982136804542265,0.486429527863641,0.1028867750403653,0.4435844378153765,0.1134236020718523,0.1691115361003358
3,0.948351900958016,43.72516818123119,0.1,93.0,0.4531878405797303,0.4962721288126786,0.4898540275330455,0.0939813902706191,0.4484656765081195,0.0424193870924378,0.0054125605040768
4,0.4560534263118431,41.23175640858373,0.1,116.0,0.4477242762483186,0.5004624629101515,0.4911300266413426,0.1042450141712195,0.4435966016173533,0.1237952192363753,0.4418445485807522
7,0.4456176089782243,38.48441613903962,0.1,140.0,0.4404828079223123,0.5041880059461052,0.4809141047972607,0.1258855452723233,0.4299079866997708,0.2153818927934664,0.3413332383916189
11,0.2712206911892386,38.75108033211119,0.1,258.0,0.4211633017524709,0.4978290428930531,0.4747743260999233,0.1683779071093617,0.4107571881205823,0.2841708243306046,0.4502945028871997
12,0.8247636752417814,42.31739240029131,0.1,108.0,0.4507174563319639,0.4968627909813551,0.4836016026036156,0.1020803513974514,0.4435750893331896,0.1075818022977774,0.0825365001224226
13,0.9121483247859196,43.2673238930354,0.1,101.0,0.4521802315097722,0.4960586963907623,0.4852463454383924,0.0984732470361581,0.4456241544193664,0.0737795753687766,0.0213902499722268
15,0.6152452819775531,41.63886990547408,0.1,113.0,0.4488441552743878,0.499114289142309,0.4883153053761254,0.1034275196034235,0.4435906701590304,0.1174702449933491,0.2596771901976229
17,0.9549175984324794,43.14976758622923,0.1,91.0,0.453440933502523,0.4963436821497725,0.4910039774373972,0.092895263231493,0.4491681217812564,0.0368502297305433,0.0038209434333928
18,0.3691077031953116,61.51173592585506,3.4,133.0,0.4400494730057681,0.5047940842390501,0.4882309674073731,0.1236415608792717,0.4322988087935707,0.1775979266884086,0.4298701577981143
20,0.9447390282493,43.61887377916257,0.1,94.0,0.4530613031847878,0.4962363522012104,0.4892790920844446,0.0945287112644859,0.4481145307824261,0.0454974916028523,0.0064404614817497
21,0.2746359427365921,38.86339080642669,0.1,256.0,0.421503348991708,0.4980687854169623,0.4748475061431724,0.1676903568113069,0.4110122754213989,0.2835680996709394,0.4466479400010993
22,0.291422090408828,125.9213226180529,4.0,158.0,0.43150649364183,0.5064939943723703,0.4856061456089575,0.14461569990229,0.4215978533761537,0.2174813158792293,0.4379073426759121
24,0.7913450427240796,42.18168790132786,0.1,109.0,0.4503426825985885,0.4973130833571562,0.484544136626435,0.1023485348893629,0.4435782054894791,0.1094990629766138,0.1056252755274233
25,0.9408891813879824,43.51218040735435,0.1,95.0,0.4529347718555653,0.496200575628283,0.4887041849979195,0.0950788852060214,0.4477634367874554,0.0487875746939742,0.0076620675962395
28,0.3578555239354918,44.95262438742451,0.1,184.0,0.4310699691423272,0.5039660240176349,0.4769867219214112,0.1486210349134468,0.4187391447598408,0.2729698192831697,0.3531860123321908
30,0.3517416494340179,45.93162901432294,0.1,189.0,0.4304054437841383,0.5035580927319903,0.4768384241782301,0.1498827754289316,0.4182020804082626,0.2736915584756685,0.3593921853476474
31,0.3566289683750002,45.1484253128042,0.1,185.0,0.4309370441311898,0.5038844381655363,0.4769570620473329,0.1488726796357383,0.4186317164377015,0.273114071992193,0.3544233715515028
32,0.2432892607377886,38.51087347401982,0.1,275.0,0.4182759499394044,0.4957912828702699,0.4741523397931717,0.1743130439122875,0.4085908959832475,0.2893250281484453,0.4814669473804671
34,0.4189296619861871,38.75763921923182,0.1,150.0,0.4375891836497834,0.5047538211847626,0.4785114318463156,0.1337953467067572,0.4256730355681637,0.2481734255224215,0.3223889572136805
35,0.6649259811349377,41.77457440443753,0.1,112.0,0.4492187011313328,0.4986639837146227,0.4873723716853963,0.1031568337564859,0.4435875539849841,0.1154315057317414,0.2108528905535753
36,0.5093979978821439,41.36746090754718,0.1,115.0,0.4480952380041203,0.5000149035776187,0.4902014155497787,0.1039707767974199,0.4435969025204388,0.1216414525235694,0.3767520905780637
38,0.2760894635186953,38.91954604358445,0.1,255.0,0.4216580687165382,0.4981731627970344,0.4748812866061021,0.1673740272370749,0.4111314564871048,0.2833291289527407,0.4450226320330992
40,0.9062245372426032,43.13161939407196,0.1,102.0,0.452272158331831,0.4961402591695929,0.4849305403103265,0.0987192533381186,0.4455455370635555,0.0788229874285335,0.0253624017204811
