,age_death_rate,collaboration_bonus,max_age,mean_intelligence,mean_proactive_aggression,mean_reactive_aggression,mean_speed,mean_strength,murder_rate,starvation_rate
0,0.994673793204935,0.1,51.0,0.4581205387795274,0.4977543574169975,0.5072224055180157,0.0768576978123911,0.4604399260492761,0.0043610556666959,5.215339126553712e-06
2,0.3943179796671372,0.1,160.0,0.4346850410124946,0.5055778145914984,0.4772023687976866,0.1416225354657737,0.4217304532333087,0.2700978702809269,0.317622878482521
4,0.5093979978821439,0.1,115.0,0.4480952380041203,0.5000149035776187,0.4902014155497787,0.1039707767974199,0.4435969025204388,0.1216414525235694,0.3767520905780637
5,0.6152452819775531,0.1,113.0,0.4488441552743878,0.499114289142309,0.4883153053761254,0.1034275196034235,0.4435906701590304,0.1174702449933491,0.2596771901976229
6,0.7913450427240796,0.1,109.0,0.4503426825985885,0.4973130833571562,0.484544136626435,0.1023485348893629,0.4435782054894791,0.1094990629766138,0.1056252755274233
8,0.6577779202209073,3.7,109.0,0.4459360667331079,0.5014770075161017,0.4819120212297864,0.1144835744088568,0.4363169382924221,0.1713552436322454,0.1959045790864523
9,0.8716882596023713,0.1,106.0,0.4549273408756958,0.4976225939061034,0.4867915781775198,0.095953185725774,0.4484181604890476,0.0992961854033895,0.052866878074009
