,age_death_rate,collaboration_bonus,max_age,mean_intelligence,mean_proactive_aggression,mean_reactive_aggression,mean_speed,mean_strength,murder_rate,starvation_rate
0,0.133661383939732,3.9,299.0,0.4212674121618285,0.4981139906594198,0.4877219230082218,0.1594943534656574,0.4194802890855525,0.2052181062973711,0.6535452796314989
3,0.6220260074804524,3.8,105.0,0.4420235075095185,0.5098691008508738,0.502406382572395,0.1213796914541942,0.4383029989383599,0.1058274220795146,0.2583225899706415
6,0.8256514553589227,0.1,103.0,0.4507510918366956,0.5116195664333847,0.5023579239846422,0.1096891096207763,0.4438640684967786,0.0965641947972159,0.0982978343376718
7,0.8827438667703295,0.1,91.0,0.4495710492197019,0.5010024906815178,0.4879793835641982,0.1117013976874114,0.4404821305810297,0.1154969894400398,0.0177965339715414
8,0.3609953841399591,0.1,191.0,0.4353876422439008,0.5078117527757451,0.4999146849881238,0.1316205069239584,0.4333690830004961,0.1387469240572401,0.5116659770466196
9,0.9250599469550868,0.1,84.0,0.4512872365654369,0.5038609189461822,0.4941005563486295,0.1054610442248398,0.4433401684650431,0.0626442646418337,0.0069488778903483
10,0.970982420527057,0.1,67.0,0.454625235076434,0.5052391949043945,0.5005163500131575,0.0931281657922403,0.4492364104682012,0.0200751339543096,0.0006333888466794
15,0.9461549375937776,0.1,79.0,0.4525239532167326,0.5053342339328369,0.4976502867387265,0.1011995350536942,0.4453691346236921,0.0411483237368956,0.0033975515585143
16,0.2568085318169395,2.2,222.0,0.4283083886008404,0.4993629774316951,0.4879360717465638,0.1486164955351842,0.4247009613963211,0.2186946605828305,0.542118617080865
18,0.220266073618112,0.1,295.0,0.4260269167850658,0.4976166573375335,0.4853171164010532,0.1536929098571214,0.4220479823145644,0.2355501021524474,0.552196757848881
21,0.6853147155559973,0.1,106.0,0.446967677606798,0.5127019054579474,0.504480351426907,0.1132832074979359,0.4423811110069925,0.1006294886418744,0.2135640027940598
26,0.4154547877491681,0.1,142.0,0.4401937186868659,0.5145273839116298,0.5091180031885437,0.120323897479082,0.4396980036498567,0.0958267258457498,0.5182131870535072
27,0.1873111399083194,1.3,298.0,0.4244150692859398,0.4977587768140938,0.4860769664496682,0.1556707778266117,0.4211561958200546,0.2253711627727896,0.5867714206757326
28,0.929812471275552,0.1,83.0,0.4515325017801028,0.5042692495972059,0.4949751968340101,0.1045950918084851,0.4437487704818986,0.0572551665249778,0.0060711519021016
29,0.7851912527485907,0.1,104.0,0.449489298816855,0.5119803587160949,0.5030654130181356,0.1108758944673344,0.4433696368499415,0.0979027280112023,0.1287511194490161
30,0.9089799583817716,0.1,87.0,0.450551583378144,0.5026358982696956,0.4914768729440676,0.1080969367757464,0.4421148244513266,0.0817705903784798,0.0104106986586445
33,0.2512412538029186,0.1,271.0,0.4275119750168886,0.4978229997670033,0.4853101305400704,0.1514528422509246,0.4231609858230416,0.2395118110325561,0.5287304886531594
35,0.3019810181912678,0.1,233.0,0.4312053070433133,0.5023505564600219,0.4919815212306685,0.1419332802701839,0.4279084807915519,0.1882288500889597,0.5175033197862472
36,0.6269999892185871,0.1,107.0,0.4457078811291493,0.5130626591662315,0.5051877951369621,0.114503877571267,0.441887018716594,0.1020180099586318,0.2690714130599605
38,0.7383175330995907,0.1,105.0,0.4482281554491219,0.5123411385161012,0.5037728897764681,0.1120739033913569,0.4428753173689123,0.0992577769289825,0.1668928035939435
39,0.2392955202194373,0.1,280.0,0.4269549235769737,0.4977456212652778,0.4853127502372664,0.1522897080590969,0.4227435174696824,0.2380208398075807,0.5375508763264463
40,0.4329402086549413,0.1,135.0,0.4408236065287683,0.5143727887464924,0.5085898435578492,0.1196125879239823,0.4399510503650519,0.0976769718120732,0.4939874576883495
41,0.2935950810903395,0.1,239.0,0.4306202135776574,0.5016312450973317,0.490920827596249,0.1434087679236521,0.4271548144254818,0.1957846162141465,0.5192498913389543
42,0.5647422432725331,0.1,108.0,0.4444487818206247,0.5134233992656059,0.50589521807443,0.1157359840539466,0.441393041449231,0.1034234873514748,0.3328988244175476
45,0.1968485029952202,0.8,300.0,0.4248855946297858,0.4976716181334007,0.4857613002902659,0.1551514412085359,0.4213771030399768,0.2290505873155347,0.5755780163464874
46,0.986341295850776,0.1,51.0,0.4570421933297794,0.5037316587388718,0.5021640963364473,0.0838839281142707,0.4539623415151244,0.0086203688123109,6.959302373105705e-05
47,0.500373491533465,0.1,109.0,0.4431903954500772,0.5137841253807802,0.5066026174074407,0.1169795970259299,0.4408991801555135,0.1048460669007751,0.4035085393132383
48,0.1455420665359668,3.2,300.0,0.4220359311662276,0.4980074435656318,0.4872793919655146,0.1585797246476594,0.4198725556346138,0.2103169296063259,0.6371901013936665
49,0.3731478246825251,0.1,178.0,0.436674327961161,0.5098408048847591,0.5027652118098691,0.128341846695004,0.4351904699722668,0.1240324776961155,0.5189770748163061
