buy1,buy2,spoil_ratio,succes_ratio
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
2, 2, 0.472076421576926, 0.3445145073083574
1, 2, 0.5690070197373676, 0.2948881492368163
3, 5, 0.6879696979989457, 0.5781842350580657
1, 2, 0.5690070197373676, 0.2948881492368163
2, 2, 0.472076421576926, 0.3445145073083574
4, 4, 0.5574344051320579, 0.608110939996189
1, 2, 0.5690070197373676, 0.2948881492368163
2, 5, 0.8189743857213594, 0.4509725521114301
2, 2, 0.472076421576926, 0.3445145073083574
4, 4, 0.5574344051320579, 0.608110939996189
4, 5, 0.5867906687628357, 0.6672584993853212
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
4, 5, 0.5867906687628357, 0.6672584993853212
1, 2, 0.5690070197373676, 0.2948881492368163
7, 8, 0.7169719685452893, 0.8569827785378918
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
4, 5, 0.5867906687628357, 0.6672584993853212
3, 4, 0.5494707853376354, 0.5334079789381858
4, 4, 0.5574344051320579, 0.608110939996189
4, 5, 0.5867906687628357, 0.6672584993853212
3, 4, 0.5494707853376354, 0.5334079789381858
4, 6, 0.6821008554240089, 0.6827462422180679
1, 2, 0.5690070197373676, 0.2948881492368163
3, 5, 0.6879696979989457, 0.5781842350580657
1, 2, 0.5690070197373676, 0.2948881492368163
4, 5, 0.5867906687628357, 0.6672584993853212
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
5, 7, 0.7066043837368944, 0.7605302677893362
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
5, 5, 0.6091781304463822, 0.7097541627533235
1, 2, 0.5690070197373676, 0.2948881492368163
6, 7, 0.6753448290814394, 0.8064054252468411
4, 5, 0.5867906687628357, 0.6672584993853212
2, 5, 0.8189743857213594, 0.4509725521114301
6, 8, 0.7311033692005107, 0.82379173227995
1, 2, 0.5690070197373676, 0.2948881492368163
2, 1, 0.5443488580011399, 0.2581277747157952
1, 2, 0.5690070197373676, 0.2948881492368163
2, 3, 0.5280708091620637, 0.3892370021944648
1, 2, 0.5690070197373676, 0.2948881492368163
2, 2, 0.472076421576926, 0.3445145073083574
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
5, 5, 0.6091781304463822, 0.7097541627533235
3, 4, 0.5494707853376354, 0.5334079789381858
1, 2, 0.5690070197373676, 0.2948881492368163
2, 5, 0.8189743857213594, 0.4509725521114301
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
2, 2, 0.472076421576926, 0.3445145073083574
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
2, 1, 0.5443488580011399, 0.2581277747157952
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
3, 4, 0.5494707853376354, 0.5334079789381858
1, 2, 0.5690070197373676, 0.2948881492368163
2, 3, 0.5280708091620637, 0.3892370021944648
5, 6, 0.6307484062335276, 0.743299338424656
5, 6, 0.6307484062335276, 0.743299338424656
3, 5, 0.6879696979989457, 0.5781842350580657
5, 6, 0.6307484062335276, 0.743299338424656
1, 2, 0.5690070197373676, 0.2948881492368163
1, 2, 0.5690070197373676, 0.2948881492368163
