,"1-(s,Q)",1-DailyPurchase,"2-(s,S)",2-PeriodicallyPurchase,"3-(R,S)",3-Random,4-Random,Clients_N,DS_D,Demand_W,Distr1,Distr2,Fact,HC,K,Lt0,Lt1,MA,SS_%,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative
77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,132.0,6.0,29.0,4.0,7.0,1.0,0.016507092596818,200.0,4.0,4.0,500.0,0.85,0.115713145438944,0.0577425003728599,0.0004201493330772,0.0170630601424209,0.3992134311596812,0.3435261461450723,0.2401973625528255
78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,479.0,2.0,5.0,12.0,44.0,3.0,0.0510268989853154,200.0,4.0,4.0,500.0,0.85,0.1010649535724585,0.0063423358571569,0.0003236480967967,0.0033811636362722,0.2152360839539319,0.5703396174460124,0.2110431349637834
79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,2.0,2.0,6.0,1.0,0.0408156218420215,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.015625,0.328125,0.328125,0.328125
80,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,2.0,5.0,1.0,1.0,2.0,0.0200360517688177,200.0,4.0,4.0,500.0,0.85,0.2820213321857805,0.6468712029161604,6.856182991524044e-05,0.0199195204489495,0.3748215107378664,0.4002673676090794,0.2049916012041046
81,0.0,0.0,0.0,0.0,1.0,1.0,0.0,157.0,7.0,18.0,13.0,16.0,3.0,0.0856816473727102,200.0,4.0,4.0,500.0,0.85,0.0458020629147286,0.0073322871441585,0.0006738755392385,0.0139308007213974,0.2290777049458764,0.6067086879518583,0.1502828063808677
82,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,7.0,17.0,12.0,3.0,3.0,0.0477587050658976,200.0,4.0,4.0,500.0,0.85,0.2012938636843026,0.1920673474773771,0.0008440480544692,0.0084816788003974,0.3128178523775157,0.5431607299764728,0.1355397388456141
83,0.0,1.0,1.0,0.0,0.0,0.0,0.0,132.0,12.0,29.0,1.0,3.0,1.0,0.0681267635671458,200.0,4.0,4.0,500.0,0.85,0.0774772301778198,0.0229280537429871,0.0007187883839403,0.012212683551572,0.1771742411924738,0.6564429776933539,0.1541700975626001
84,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,24.0,1.0,3.0,1.0,0.0132713907244828,200.0,4.0,4.0,500.0,0.85,0.214824120603015,0.5208456681388756,0.000195344548715,0.0066095602984193,0.4271602891100803,0.3655622126317657,0.2006679379597346
85,0.0,0.0,0.0,1.0,1.0,0.0,0.0,846.0,3.0,10.0,21.0,33.0,4.0,0.0905808289983159,200.0,4.0,4.0,500.0,0.85,0.0719449896077136,0.0007723691289379,0.0009246879488193,0.0241739173611462,0.2215690921197902,0.6026487715311228,0.1516082189879408
86,0.0,1.0,1.0,0.0,0.0,0.0,0.0,304.0,3.0,13.0,4.0,14.0,1.0,0.058545347704882,200.0,4.0,4.0,500.0,0.85,0.0766515782314186,0.007342951471047,0.0004193017800891,0.0076170432718471,0.231998503375793,0.5169089786576767,0.243475474694683
87,0.0,1.0,1.0,0.0,0.0,0.0,0.0,744.0,1.0,9.0,13.0,24.0,3.0,0.0360374544814123,200.0,4.0,4.0,500.0,0.85,0.0820528640951477,0.0045247963196781,0.0001719378871229,0.0027214424805454,0.2024016464412032,0.6632874127636725,0.1315894983145787
88,0.0,1.0,0.0,0.0,0.0,0.0,1.0,768.0,0.0,2.0,15.0,17.0,3.0,0.0340344491414237,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0023226351351351,0.2375422297297297,0.7126266891891891,0.0475084459459459
89,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,12.0,2.0,5.0,2.0,0.0300881491043777,200.0,4.0,4.0,500.0,0.85,0.2035003622986455,0.5169369661070214,0.0005711837783806,0.0129927690769169,0.2586371749656183,0.3517109971651201,0.3766590587923446
90,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,11.0,23.0,3.0,4.0,1.0,0.0671456487629453,200.0,4.0,4.0,500.0,0.85,0.0909611929336778,0.1296823445688038,0.0010059015770637,0.0244102997166003,0.3796561751543431,0.382264740121566,0.2136687850074905
91,0.0,0.0,0.0,1.0,1.0,0.0,0.0,308.0,4.0,15.0,5.0,16.0,4.0,0.0258817406929207,200.0,4.0,4.0,500.0,0.85,0.0808606340857718,0.0448461124244859,0.0006615574308443,0.0193024412117255,0.2268019859718558,0.5448874756691103,0.2090080971473083
92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,2.0,8.0,11.0,17.0,4.0,0.0134391893398963,200.0,4.0,4.0,500.0,0.85,0.1115722518025103,0.2895393223887217,0.0002745961737712,0.0048748452812238,0.3726440454835517,0.356521312668432,0.2659597965667925
93,0.0,0.0,0.0,0.0,1.0,1.0,0.0,206.0,6.0,19.0,9.0,8.0,3.0,0.0608911489314412,200.0,4.0,4.0,500.0,0.85,0.0694750880402686,0.0240457690314083,0.0005045378220678,0.0158421335957259,0.2235898718934175,0.6368252616056276,0.123742732905229
94,0.0,0.0,0.0,0.0,1.0,1.0,0.0,411.0,2.0,19.0,12.0,27.0,4.0,0.0923357083320017,200.0,4.0,4.0,500.0,0.85,0.0659728532387865,0.0052835690993393,0.0005903074991815,0.0135197846391758,0.1290600976014447,0.7407769620128295,0.11664315574655
95,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,5.0,2.0,1.0,0.0236674130706467,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0,0.25,0.25,0.5
96,0.0,0.0,0.0,0.0,0.0,1.0,1.0,238.0,4.0,12.0,11.0,28.0,4.0,0.0521618212207811,200.0,4.0,4.0,500.0,0.85,0.0801287517640937,0.0476240869845272,0.00061982006748,0.012813499912408,0.2632902333590003,0.5276676047427582,0.1962286619858334
97,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,9.0,19.0,3.0,8.0,3.0,0.0381054513446287,200.0,4.0,4.0,500.0,0.85,0.076738731562518,0.1328959729940606,0.0004950716178791,0.0046430562842698,0.3430964853164975,0.4117054181427067,0.2405550402565258
98,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.0,0.0,24.0,1.0,2.0,2.0,0.0625845083235936,200.0,4.0,4.0,500.0,0.85,0.0943660211688509,0.1083951575188129,0.0010629449580677,0.0248894457740368,0.3067229027463583,0.4755096503943778,0.192878001085227
99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,2.0,18.0,5.0,12.0,3.0,0.0211263176278278,200.0,4.0,4.0,500.0,0.85,0.1099766805669412,0.2954669975813745,0.0005032386829315,0.0160906392942969,0.4458170195972353,0.2483143803729767,0.2897779607354909
100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,213.0,5.0,26.0,7.0,10.0,2.0,0.0800028565675931,200.0,4.0,4.0,500.0,0.85,0.0643263176540685,0.0044936250584052,0.0005713802058097,0.0245703824130585,0.2508973268193476,0.518417071398942,0.2061152193686518
