,HC,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
3,0.01,0.0745164643520677,0.0341342379287355,0.0001285940852268,0.0077117022926744,0.2151375796237752,0.6748354918840183,0.1235513311014464,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,0.01,0.0656985615618341,0.0245295838109892,8.071355905562842e-05,0.0058430230712222,0.197978527942444,0.7197860903529556,0.109317643910072,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.01,0.0839753266667847,0.0430370631415742,0.0002034149254719,0.0101110186053562,0.2306783436522244,0.6285729523182872,0.1391243013830261,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,0.01,0.0830438382162647,0.0416012147597928,0.0001925529306686,0.009925020896784,0.2285809381010533,0.6330070873747056,0.1376245734108578,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,0.01,0.0801913511962713,0.0386303151679484,0.0001668084649083,0.0091503045164815,0.2237382682266802,0.6471509807440492,0.132835897626637,0.0,0.0,0.0,0.0,0.0,1.0,1.0
