,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
0,23.0,90.0,4.0,0.0708729556309958,0.0007112456868411,0.0001230033214493,0.0082134141402825,0.1710474286922437,0.6608353035484438,0.1625632866054151,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,24.0,96.0,4.0,0.0696453607611222,0.0007415072926828,9.04064756325059e-05,0.0074608337519481,0.1836984506845403,0.6402706258432358,0.1651045920927543,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,24.0,94.0,4.0,0.0694542445773221,0.0005674074086736,0.0001037020461171,0.0078873307398672,0.1694264127494616,0.6640063057500454,0.1602370645353394,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3,24.0,96.0,4.0,0.0680762433966559,0.0003561405837335,0.0001033747684663,0.0079104209128665,0.1549449521341986,0.692929454043824,0.1509403700762475,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,12.0,47.0,2.0,0.0830938455933984,0.0094397656819192,0.0002497796902542,0.0140918097143712,0.2650432748793362,0.4639728034790772,0.2434730819580065,0.0,0.0,0.0,0.0,0.0,1.0,1.0
